procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1      0 97517744   5800  63796    0    0  2056  1949   61   78 27  6 59  7  0	
 1  1      0 97516016   5800  63800    0    0 44032     0 23664 24597  1  0 90  9  0	
 0  2      0 97515552   5816  63792    0    0 46104    48 22640 23775  0  0 90 10  0	
 0  2      0 97515552   5816  63804    0    0 45216     0 22679 23494  0  0 90 10  0	
 0  2      0 97515552   5816  63804    0    0 45312     0 24560 23720  0  0 90  9  0	
 1  2      0 97515552   5816  63804    0    0 41808     0 23454 23533  0  0 90  9  0	
 0  2      0 97515552   5816  63804    0    0 43440     0 22937 23208  0  0 91  9  0	
 0  2      0 97515552   5824  63800    0    0 41648    20 22106 22037  0  0 91  9  0	
 1  1      0 97515552   5824  63800    0    0 41456     0 21762 21874  1  0 90  9  0	
 1  1      0 97515552   5824  63800    0    0 42640     0 22008 22078  0  0 91  9  0	
 0  2      0 97515552   5824  63800    0    0 42672     0 22619 22731  0  0 90  9  0	
 0  2      0 97515552   5824  63804    0    0 44128     0 23623 23556  0  0 90  9  0	
 0  2      0 97515552   5824  63804    0    0 41104    20 22220 22427  0  0 90  9  0	
 0  2      0 97515552   5832  63796    0    0 43376    36 23680 23482  1  0 90  9  0	
 1  1      0 97515552   5832  63796    0    0 43008     0 22571 22671  0  0 90  9  0	
 1  1      0 97515552   5832  63796    0    0 42720     0 23618 23667  0  0 90  9  0	
 1  1      0 97515552   5832  63796    0    0 43328     0 22912 23313  0  0 90  9  0	
 1  1      0 97515552   5832  63796    0    0 43488     0 24195 24012  0  0 91  9  0	
 0  2      0 97515552   5840  63788    0    0 43424    12 24128 24113  1  0 90  9  0	
 0  2      0 97515552   5840  63804    0    0 43952     0 23272 23389  0  0 90  9  0	
 0  2      0 97515552   5840  63804    0    0 43056     0 23184 23384  0  0 90  9  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  2      0 97515552   5840  63804    0    0 42096     0 22402 22886  0  0 90  9  0	
 1  2      0 97515552   5840  63804    0    0 42752    56 23162 23226  0  0 90  9  0	
 1  1      0 97515552   5840  63804    0    0 44048     0 22290 22682  0  0 91  9  0	
 2  1      0 97515552   5848  63804    0    0 43856    12 23300 23954  0  0 91  9  0	
 0  2      0 97515552   5848  63804    0    0 43344     0 22422 22341  0  0 90  9  0	
 1  2      0 97515552   5848  63804    0    0 43280     0 22860 22873  0  0 91  9  0	
 0  2      0 97515552   5848  63804    0    0 42400     0 22634 22843  1  0 90  9  0	
 0  2      0 97515552   5848  63804    0    0 41264     0 23005 23380  0  0 90  9  0	
 1  1      0 97515552   5856  63796    0    0 40880    12 22164 22514  1  0 90  9  0	
 1  1      0 97515552   5856  63796    0    0 43200     0 23865 23980  0  0 91  9  0	
 0  2      0 97515552   5856  63796    0    0 41760     0 22046 22017  0  0 90  9  0	
 2  1      0 97515552   5860  63792    0    0 43444    16 22976 23390  0  0 90  9  0	
 1  2      0 97515552   5860  63792    0    0 42288     0 22663 23123  0  0 91  9  0	
 1  2      0 97515552   5860  63792    0    0 42368     0 23135 22880  0  0 90  9  0	
 2  1      0 97515432   5868  63816    0    0 41904    24 22030 22574  1  0 90  9  0	
 1  2      0 97515432   5868  63816    0    0 42608     0 23186 23052  0  0 90  9  0	
 1  1      0 97515432   5868  63816    0    0 42880     0 22277 22295  0  0 90  9  0	
 0  2      0 97515432   5868  63816    0    0 42144     0 22580 22720  0  0 90  9  0	
 0  2      0 97515432   5876  63812    0    0 42160    12 22211 22776  0  0 90  9  0	
 0  2      0 97515432   5876  63812    0    0 42592     0 22669 22929  0  0 90  9  0	
 1  1      0 97515432   5876  63812    0    0 40784     0 21756 22148  0  0 90  9  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1      0 97515432   5876  63812    0    0 40320     0 21993 22328  0  0 90  9  0	
 1  1      0 97515432   5876  63820    0    0 41440     0 22451 22507  1  0 90  9  0	
 1  1      0 97515432   5884  63816    0    0 41472    16 21297 21688  1  0 90  9  0	
 0  2      0 97515432   5884  63816    0    0 42944     0 22858 23283  0  0 90  9  0	
 1  1      0 97515432   5884  63816    0    0 43200     0 22469 22803  0  0 90  9  0	
 0  1      0 97515432   5884  63816    0    0 43536     0 22593 22814  0  0 90  9  0	
 1  1      0 97515432   5884  63816    0    0 43088     0 23359 23244  1  0 90  9  0	
 2  1      0 97515432   5884  63816    0    0 41744     0 22633 22464  0  0 90  9  0	
 2  1      0 97515432   5892  63808    0    0 42576    12 22491 22457  0  0 90  9  0	
 1  1      0 97515432   5892  63820    0    0 41584     0 22400 22750  0  0 91  9  0	
 0  2      0 97515432   5892  63820    0    0 42208     0 23190 23136  0  0 90  9  0	
 2  1      0 97515432   5892  63820    0    0 42128     0 22614 22562  0  0 90  9  0	
 0  2      0 97515432   5892  63820    0    0 41552     0 22655 22666  0  0 90  9  0	
 1  1      0 97515432   5900  63812    0    0 41792    12 22363 22406  0  0 90 10  0	
 0  2      0 97515432   5900  63820    0    0 41568     0 22019 21913  1  0 90  9  0	
 1  1      0 97515432   5900  63820    0    0 41424     0 22019 22707  0  0 90  9  0	
 0  2      0 97515432   5900  63820    0    0 39680    16 22325 22378  0  0 90  9  0	
 0  1      0 97515432   5900  63820    0    0 41136     0 21881 22081  0  0 90  9  0	
 1  1      0 97515432   5900  63820    0    0 40720     0 22039 22340  0  0 90  9  0	
 0  2      0 97515432   5908  63820    0    0 40720    12 21921 21619  0  0 90  9  0	
 1  1      0 97515432   5908  63820    0    0 42320     0 23012 23002  1  0 90  9  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  2      0 97515432   5908  63820    0    0 42288    16 23350 23309  0  0 90  9  0	
 0  2      0 97515432   5908  63820    0    0 41008     0 21925 22290  0  0 90  9  0	
 1  1      0 97515432   5908  63820    0    0 40688     0 22458 22910  1  0 90  9  0	
 1  1      0 97515432   5916  63812    0    0 40928    20 22951 22957  0  0 90  9  0	
 0  2      0 97515432   5916  63820    0    0 40560     0 21601 21827  0  0 90  9  0	
 0  2      0 97515432   5916  63820    0    0 40176     0 21853 21864  0  0 90  9  0	
 1  2      0 97515432   5916  63820    0    0 39520     0 21765 21756  0  0 90  9  0	
 0  2      0 97514904   5916  63824    0    0 40768     0 22168 22731  0  0 90  9  0	
 0  2      0 97514904   5916  63828    0    0 41264     0 21859 21960  0  0 90  9  0	
 0  2      0 97514904   5924  63828    0    0 40208    16 22846 22832  1  0 90  9  0	
 0  2      0 97514904   5924  63828    0    0 39680     0 23236 21030  0  0 90 10  0	
 1  1      0 97514904   5924  63828    0    0 39712     0 22339 22027  0  0 90  9  0	
 0  2      0 97516176   5924  63828    0    0 41120     0 21708 21937  0  0 90  9  0	
 0  2      0 97516176   5924  63828    0    0 40464     0 22529 22295  1  0 90  9  0	
 0  2      0 97516176   5932  63820    0    0 42528    20 22569 22710  0  0 90  9  0	
 0  2      0 97516176   5932  63828    0    0 41008     4 22621 22966  0  0 91  9  0	
 1  1      0 97516176   5932  63828    0    0 41024     0 21872 22170  0  0 91  9  0	
