procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 47144332  10988  68896    0    0  1488     4  483   82 18  6 71  5  0	
12  0      0 47128848  10996  68912    0    0   432    36 220648 228992 16  5 76  0  2	
11  0      0 47128104  10996  68912    0    0   384     0 218517 229140 17  4 76  0  2	
 9  0      0 47127608  10996  68912    0    0   416     0 218462 228842 16  6 76  0  2	
10  0      0 47127360  10996  68912    0    0   496     0 218316 229363 17  4 76  0  3	
10  0      0 47126616  10996  68912    0    0   368     0 216697 226162 17  5 76  0  2	
11  0      0 47126616  10996  68912    0    0   512     8 218336 227443 18  4 76  0  2	
 9  0      0 47125872  11004  68912    0    0   432    12 218099 227515 17  5 75  0  2	
 8  0      0 47125376  11004  68912    0    0   416     0 219071 229340 17  5 76  0  2	
11  0      0 47124756  11004  68912    0    0   448     0 220023 228820 17  5 76  0  2	
 8  0      0 47124756  11004  68912    0    0   464     0 218285 228958 16  5 76  0  2	
 9  0      0 47123764  11004  68912    0    0   720     0 218455 228370 17  5 76  0  2	
 8  0      0 47123516  11012  68912    0    0   416    12 219576 229739 16  5 76  0  2	
 9  0      0 47122896  11012  68912    0    0   448     0 218709 229523 18  5 75  0  2	
10  0      0 47122648  11012  68912    0    0   384     0 219230 229750 17  4 76  0  2	
 9  0      0 47122400  11012  68912    0    0   400     0 215189 225217 18  5 75  0  2	
 8  0      0 47121532  11012  68912    0    0   336     0 219487 229399 17  5 76  0  2	
 8  0      0 47121160  11012  68912    0    0   464     0 216047 226000 17  5 76  0  2	
 8  0      0 47121036  11020  68912    0    0   384    12 215746 226079 17  5 76  0  2	
11  0      0 47120788  11020  68912    0    0   560     0 219700 229819 18  4 75  0  2	
 9  0      0 47120168  11020  68912    0    0   368     0 219514 228981 17  4 76  0  2	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11  0      0 47120044  11020  68912    0    0   272     0 220305 229613 16  6 76  0  2	
10  0      0 47119300  11020  68912    0    0   368     0 220449 229234 17  4 77  0  2	
 9  0      0 47119052  11028  68912    0    0   256    12 220728 229738 16  5 77  0  2	
 8  0      0 47118680  11028  68912    0    0   384     0 219472 229042 17  5 76  0  2	
 9  0      0 47118432  11028  68912    0    0   432     0 217197 226849 18  4 75  0  2	
 8  0      0 47117812  11028  68912    0    0   496     0 219419 229608 16  5 77  0  2	
 8  0      0 47117564  11028  68912    0    0   304     0 219365 228835 17  5 75  0  2	
10  0      0 47117004  11028  68912    0    0   448     0 219154 230026 17  5 76  0  2	
