procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 69373360  12492  78048    0    0  2099     2  209  220 34 11 49  5  1	
57 10      0 69263216  12492  78072    0    0 75760     0 114930 250686 54 20 25  0  1	
69  3      0 69260736  12492  78072    0    0 125232     0 14581 234835 75 25  0  0  0	
59  8      0 69260360  12492  78072    0    0 126304     0 12255 236208 75 25  0  0  0	
63  6      0 69260360  12492  78072    0    0 125296     0 11566 234015 75 25  0  0  0	
67  3      0 69260360  12492  78072    0    0 119648     0 11215 224268 76 24  0  0  0	
61  6      0 69260360  12500  78072    0    0 125792    40 11596 236184 73 27  0  0  0	
65  5      0 69260360  12500  78072    0    0 127408     0 11650 236108 75 25  0  0  0	
60  6      0 69260360  12500  78072    0    0 125168     0 11542 236084 74 26  0  0  0	
62  5      0 69260360  12500  78072    0    0 127760     0 11605 236236 75 25  0  0  0	
60  6      0 69260360  12500  78072    0    0 127952     0 11605 236152 76 24  0  0  0	
66  4      0 69260360  12508  78072    0    0 127008    12 11539 236268 73 27  0  0  0	
61  6      0 69260360  12508  78072    0    0 125424     0 12169 236354 74 26  0  0  0	
58  9      0 69259856  12508  78072    0    0 124976     0 11822 236314 75 25  0  0  0	
63  6      0 69259744  12508  78072    0    0 126768     0 11618 234284 75 25  0  0  0	
57  8      0 69259744  12508  78072    0    0 125120     0 11501 235546 76 24  0  0  0	
63  7      0 69259744  12508  78072    0    0 124416     0 11466 235182 75 25  0  0  0	
61 11      0 69259744  12516  78072    0    0 128944    20 11708 236246 75 25  0  0  0	
59  9      0 69259744  12516  78072    0    0 123648     0 11378 236322 75 25  0  0  0	
65  5      0 69259744  12516  78072    0    0 128864     0 11659 236364 74 26  0  0  0	
65  7      0 69259744  12516  78072    0    0 125376    48 11559 236515 75 25  0  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
65  2      0 69259744  12516  78072    0    0 127648     0 12429 236361 74 26  0  0  0	
58 10      0 69259744  12524  78072    0    0 127056    12 11657 235018 76 24  0  0  0	
62 12      0 69259744  12524  78072    0    0 127952     0 11637 236266 74 26  0  0  0	
66  2      0 69259744  12524  78072    0    0 125536     0 11534 233950 75 25  0  0  0	
64  6      0 69259744  12524  78072    0    0 125552     0 11524 235854 74 26  0  0  0	
69  4      0 69259744  12524  78072    0    0 122848     0 11360 229999 74 26  0  0  0	
65  5      0 69259744  12524  78072    0    0 126160     0 11575 236076 75 25  0  0  0	
59 10      0 69259744  12532  78072    0    0 125168    12 13786 235183 74 25  0  1  0	
64  5      0 69259744  12532  78072    0    0 128224     0 11992 236382 75 25  0  0  0	
62  6      0 69259744  12532  78072    0    0 124656     0 11371 236273 74 26  0  0  0	
62  5      0 69259744  12532  78072    0    0 126704     0 11574 236125 75 25  0  0  0	
61  4      0 69259744  12532  78076    0    0 128400     0 11695 236222 73 27  0  0  0	
62 12      0 69259744  12540  78076    0    0 128256    12 12263 236403 74 26  0  0  0	
64  5      0 69259744  12540  78076    0    0 128064     0 11834 234344 74 26  0  0  0	
66  3      0 69259744  12540  78076    0    0 123968     0 11450 230130 76 24  0  0  0	
64  7      0 69259744  12540  78076    0    0 128560    20 11616 236253 74 26  0  0  0	
65  4      0 69259744  12540  78076    0    0 128288     0 11703 236158 75 25  0  0  0	
60  8      0 69259744  12540  78076    0    0 130880     0 11776 236638 74 26  0  0  0	
66  6      0 69259744  12548  78076    0    0 127056    32 11631 236124 74 26  0  0  0	
64  3      0 69259744  12548  78076    0    0 128240     0 11696 236351 75 25  0  0  0	
57 10      0 69259744  12548  78076    0    0 125808     0 11558 236473 75 25  0  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
61  4      0 69259744  12548  78076    0    0 125792     0 11490 236044 75 25  0  0  0	
62  6      0 69259744  12548  78080    0    0 126960     0 11505 236165 74 26  0  0  0	
63  7      0 69259744  12556  78080    0    0 124848    12 12359 233356 75 24  0  1  0	
65  6      0 69259744  12556  78080    0    0 126176     0 11998 235538 75 25  0  0  0	
61  7      0 69259744  12556  78080    0    0 128128     8 11647 236237 74 26  0  0  0	
61  6      0 69259744  12556  78080    0    0 128656     0 11696 236252 75 25  0  0  0	
64  5      0 69259744  12556  78080    0    0 126944     0 12487 236235 76 24  0  0  0	
62  4      0 69259744  12556  78080    0    0 127008     0 11722 236497 74 26  0  0  0	
64  3      0 69259744  12564  78080    0    0 126832    12 12174 236296 75 25  0  0  0	
60  7      0 69259744  12564  78080    0    0 124624     0 11424 236255 74 26  0  0  0	
61  7      0 69259744  12564  78080    0    0 128080     0 11970 235989 74 26  0  0  0	
63  7      0 69259744  12564  78080    0    0 125600     0 11479 236374 75 25  0  0  0	
62  4      0 69259744  12564  78080    0    0 125840     0 11991 234226 74 25  0  0  0	
68  6      0 69259744  12572  78080    0    0 123632    12 11402 229900 74 26  0  0  0	
58 13      0 69259744  12572  78080    0    0 131168    20 11844 236491 74 26  0  0  0	
75  2      0 69259744  12572  78080    0    0 128160     0 12528 236273 74 26  0  0  0	
63  6      0 69259744  12572  78080    0    0 129584     0 12397 236532 74 26  0  0  0	
66  9      0 69259744  12572  78080    0    0 127024     0 11602 236292 74 26  0  0  0	
65  6      0 69259744  12572  78080    0    0 127008     0 11581 235955 74 26  0  0  0	
62  8      0 69259744  12580  78080    0    0 128816    12 11689 236628 75 25  0  0  0	
62 10      0 69259744  12580  78080    0    0 127312     0 11843 236099 75 25  0  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
63  3      0 69259744  12580  78080    0    0 128464     0 11687 236049 74 26  0  0  0	
62  8      0 69259744  12580  78080    0    0 126416     0 11593 233933 74 26  0  0  0	
59  9      0 69259744  12580  78084    0    0 124960     0 11468 235336 76 24  0  0  0	
61  4      0 69259744  12588  78084    0    0 128864    20 11590 236351 74 26  0  0  0	
61  8      0 69259744  12588  78084    0    0 127008     0 12298 236058 73 26  0  0  0	
62  7      0 69259744  12588  78084    0    0 124848     0 12644 234697 73 26  0  1  0	
65  4      0 69259744  12588  78084    0    0 127040     0 11468 236230 74 26  0  0  0	
62  8      0 69259744  12588  78084    0    0 128432     0 11665 236167 76 24  0  0  0	
62  8      0 69259744  12596  78076    0    0 128848    32 11652 236213 75 25  0  0  0	
66  3      0 69259744  12596  78084    0    0 126688     0 11538 236057 74 26  0  0  0	
64  6      0 69259744  12596  78084    0    0 128224     0 11527 236155 74 26  0  0  0	
61  7      0 69259744  12596  78084    0    0 128800     0 11671 233734 74 26  0  0  0	
66  4      0 69259744  12596  78084    0    0 120720     0 11185 225050 74 26  0  0  0	
63  5      0 69259744  12596  78084    0    0 126752     0 11492 235959 75 26  0  0  0	
65  6      0 69259744  12604  78084    0    0 130368    12 11638 236286 75 25  0  0  0	
63  6      0 69259744  12604  78084    0    0 127840     0 11649 236336 74 26  0  0  0	
62 10      0 69259744  12604  78084    0    0 127680     0 11543 236395 74 26  0  0  0	
66  3      0 69259744  12604  78084    0    0 127264     0 11906 236278 74 26  0  0  0	
