procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 42652136  16240 116116    0    0   368  3390   19   28 12  2 81  5  0	
12  0      0 42636512  16240 116136    0    0    80     0 244354 243144  8  6 83  0  3	
 7  1      0 42635520  16240 116136    0    0   112     0 242330 243873  8  5 84  0  3	
 8  0      0 42635272  16240 116136    0    0    96     0 240642 242186  8  5 85  0  3	
10  0      0 42635272  16240 116136    0    0    96     0 241970 243577  9  4 84  0  3	
 9  0      0 42635272  16240 116136    0    0   128     0 238665 240267  9  4 84  0  3	
 8  0      0 42635148  16248 116136    0    0    80    36 241426 242996  9  5 84  0  3	
 8  0      0 42635148  16248 116136    0    0    80     0 241942 243694  9  5 84  0  3	
11  0      0 42634992  16248 116136    0    0   144     0 242183 243801  8  5 85  0  3	
11  0      0 42634992  16248 116136    0    0    64     0 242105 243714  8  6 84  0  3	
10  0      0 42634868  16248 116136    0    0    48     0 241786 243313  7  4 86  0  3	
 8  0      0 42634744  16256 116136    0    0   192    12 242756 244296  8  4 85  0  3	
 9  0      0 42634744  16256 116136    0    0    64     0 243125 244666  8  5 84  0  3	
 8  1      0 42634496  16256 116136    0    0    80     0 241516 243172  8  5 85  0  3	
 8  0      0 42634496  16256 116136    0    0    48     0 240892 242469  7  5 85  0  3	
13  0      0 42634248  16256 116136    0    0   144     0 241486 243100  8  5 84  0  3	
 9  0      0 42634248  16256 116136    0    0    32     0 240639 242343  8  5 84  0  3	
 8  0      0 42634000  16264 116136    0    0   112    12 240570 242124  8  5 85  0  3	
10  0      0 42634000  16264 116136    0    0    80     0 243713 245288  8  5 85  0  3	
10  0      0 42633984  16264 116136    0    0    32     0 241024 242581  8  5 84  0  3	
 8  0      0 42633984  16264 116136    0    0    96     0 241195 242772  9  5 84  0  3	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0      0 42633612  16264 116136    0    0   144     0 240366 242096  7  5 85  0  3	
 9  0      0 42633612  16272 116136    0    0    48    20 241856 243402  8  4 85  0  3	
10  0      0 42633612  16272 116136    0    0    16     0 238315 239841  9  4 84  0  3	
10  0      0 42633488  16272 116136    0    0    48     0 241465 243174  8  5 85  0  3	
 8  0      0 42633488  16272 116136    0    0    64     0 240665 242140  9  5 83  0  3	
 8  0      0 42633364  16272 116144    0    0    64     0 242253 243893  7  5 85  0  3	
 9  0      0 42633364  16272 116144    0    0    48     0 240621 242178  8  5 84  0  3	
 8  0      0 42633240  16280 116144    0    0    48    20 241751 243374  8  5 85  0  3	
10  0      0 42633240  16280 116144    0    0    96     0 240109 241813  8  5 85  0  3	
 9  0      0 42633116  16280 116144    0    0    32     0 241879 243734  7  6 84  0  3	
 9  0      0 42632992  16280 116144    0    0    48    16 241199 242779  8  5 85  0  3	
 8  0      0 42632992  16280 116144    0    0    16     0 242199 243762  7  5 85  0  3	
 9  0      0 42632992  16288 116144    0    0    96    24 241732 243307  9  5 84  0  3	
 9  0      0 42632992  16288 116148    0    0   160     0 239690 241589  8  5 84  0  3	
10  0      0 42632868  16288 116148    0    0    96     0 237647 239244  8  4 85  0  3	
10  0      0 42632868  16288 116148    0    0    64    40 242421 244077  7  5 86  0  3	
 9  0      0 42632868  16288 116148    0    0   112     0 241986 243567  8  5 84  0  3	
 8  0      0 42632744  16288 116148    0    0    48     0 242187 243787  8  5 84  0  3	
 9  0      0 42632744  16296 116148    0    0    64    12 242207 243931  8  5 84  0  3	
 8  0      0 42632620  16296 116148    0    0    80     0 242156 243779  7  6 84  0  3	
 9  0      0 42632620  16296 116148    0    0    32     0 242611 244296  8  4 85  0  3	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 42632620  16296 116148    0    0    48     0 241760 243408  8  5 84  0  3	
 9  0      0 42632496  16296 116152    0    0    80     0 242316 243940  7  5 85  0  3	
 9  0      0 42632372  16304 116152    0    0   144    12 242793 244452  8  5 84  0  3	
 9  0      0 42632372  16304 116152    0    0    48     0 236997 238479  9  4 84  0  3	
10  0      0 42632248  16304 116152    0    0    64     0 241380 242909  8  5 84  0  3	
 9  0      0 42632124  16304 116152    0    0    48     0 242124 243727  7  5 85  0  3	
10  0      0 42632124  16304 116152    0    0    96     0 242935 244598  8  5 84  0  3	
10  0      0 42632124  16304 116152    0    0   144     0 241979 243657  8  5 85  0  3	
 8  0      0 42631752  16312 116152    0    0   112    20 240888 242613  8  4 85  0  3	
10  0      0 42631628  16312 116152    0    0    96     0 240801 242435  7  5 85  0  3	
 9  0      0 42627940  16312 116156    0    0    64    16 243952 246268 11  6 80  0  3	
 8  0      0 42627940  16312 116156    0    0    80     0 241064 242668  9  5 84  0  3	
10  0      0 42627940  16312 116156    0    0   160     0 240577 242311  8  5 84  0  3	
10  0      0 42627940  16320 116156    0    0    32    52 239029 240735  8  5 84  0  3	
 8  0      0 42627940  16320 116156    0    0    48     0 241049 242601  7  5 85  0  3	
10  0      0 42627940  16320 116156    0    0    48     0 242149 243641  8  6 84  0  3	
10  0      0 42627940  16320 116156    0    0    48     0 241780 243536  8  5 84  0  3	
11  0      0 42627908  16320 116156    0    0   112     0 238671 240260  8  4 84  0  3	
10  0      0 42627908  16320 116156    0    0    96     0 241193 242776  8  5 85  0  3	
11  0      0 42627908  16328 116156    0    0   144    24 241412 242961  8  5 85  0  3	
11  0      0 42627908  16328 116156    0    0    64    16 240666 242226  8  5 84  0  3	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
10  0      0 42627908  16328 116156    0    0    64     0 238680 240327  8  5 85  0  3	
 9  0      0 42627908  16328 116156    0    0   128     0 241419 243088  9  5 84  0  3	
 8  0      0 42627908  16336 116148    0    0    48    28 238631 240200  9  5 84  0  3	
 8  0      0 42627908  16336 116156    0    0    80     0 243185 244782  8  5 84  0  3	
10  0      0 42627908  16336 116160    0    0    64     0 240507 242102  8  4 85  0  3	
 9  0      0 42627908  16336 116164    0    0    80     0 241373 243099  8  5 84  0  3	
 8  0      0 42627908  16336 116164    0    0    64     0 241880 243826  9  5 83  0  3	
