procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 97366736  13328  70452    0    0  2770  1673   50   28 24  6 60 10  0	
117 50      0 97065304  13328  70472    0    0 68976     0 232479 273766 22  9 66  2  2	
 7 121      0 97057608  13328  70472    0    0 296160     0 91722 227191 62 17  0 21  0	
 9 119      0 97055568  13328  70472    0    0 163280     0 193534 201395 20  7  0 72  2	
 6 124      0 97054384  13328  70472    0    0 163408     0 188074 200374 19  7  0 73  2	
 4 124      0 97053272  13328  70472    0    0 163376     0 192812 201127 18  7  0 73  2	
 5 123      0 97049992  13336  70472    0    0 163312    40 190029 201183 20  7  0 72  2	
11 119      0 97049248  13336  70472    0    0 163296     0 187755 199839 17  5  0 76  2	
15 116      0 97048256  13336  70472    0    0 163264     0 187658 202117 16  5  0 77  2	
 6 123      0 97047664  13336  70472    0    0 163472     0 186062 199886 17  5  0 76  2	
11 119      0 97046888  13336  70472    0    0 163312     0 185981 199770 16  5  0 78  2	
 5 123      0 97046328  13344  70464    0    0 163408    12 186525 201654 16  5  0 78  2	
 9 122      0 97045584  13344  70472    0    0 163248     0 187222 201189 17  4  0 77  2	
13 118      0 97045144  13344  70472    0    0 163328     0 184872 198079 14  5  0 80  2	
11 120      0 97045024  13344  70472    0    0 163408     0 186727 200498 16  5  0 78  2	
13 118      0 97044432  13344  70472    0    0 163280     0 185764 199370 14  5  0 79  2	
 6 123      0 97043936  13344  70472    0    0 163408    32 182755 195774 15  4  0 79  2	
 8 121      0 97043840  13352  70472    0    0 163296    12 186271 200461 15  5  0 78  2	
 9 120      0 97043840  13352  70472    0    0 163296     0 184860 199091 16  4  0 78  2	
 7 123      0 97043528  13352  70472    0    0 163392     0 185840 200606 15  5  0 79  2	
 6 123      0 97043496  13352  70472    0    0 163408     0 184950 201273 16  4  0 77  2	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11 119      0 97043184  13352  70472    0    0 163296     0 184962 198459 15  4  0 79  2	
 5 123      0 97043024  13360  70464    0    0 163392    12 184550 197689 13  4  0 81  2	
11 119      0 97043184  13360  70472    0    0 163232     0 185500 201229 16  4  0 79  2	
 9 119      0 97043096  13360  70472    0    0 163360     0 184453 200330 17  5  0 76  2	
 8 122      0 97043128  13360  70472    0    0 163344     0 183551 198177 15  5  0 78  2	
 6 123      0 97042848  13360  70472    0    0 163440     0 184805 199397 15  4  0 79  2	
 4 124      0 97042688  13360  70472    0    0 163360     0 185773 199305 16  4  0 78  2	
