procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 69387000   9228  72888    0    0  1546     2   89   51 36 12 49  4  0	
 5  3      0 69376192   9228  72908    0    0 46400     0 180747 184364 10  4 69 16  2	
 9  0      0 69375456   9228  72908    0    0 47216     0 178672 183676 10  4 69 17  2	
 9  2      0 69375456   9228  72908    0    0 49168     0 182062 188165 10  3 69 16  2	
 7  2      0 69375456   9228  72908    0    0 49440     0 180076 184638 10  3 69 17  2	
 8  0      0 69375456   9236  72908    0    0 48608    36 177775 181648 10  2 70 16  2	
 7  3      0 69375456   9236  72908    0    0 48816     0 181006 185867 10  3 68 16  2	
 5  3      0 69375456   9236  72908    0    0 49696     0 181007 185116  8  3 70 17  2	
 8  0      0 69375456   9236  72908    0    0 48048     0 180996 186155  9  3 69 16  2	
 6  3      0 69375456   9236  72908    0    0 49408     0 179037 184188 10  3 69 17  2	
 6  4      0 69375456   9244  72908    0    0 49216    12 180884 185506 10  3 69 17  2	
 9  1      0 69375456   9244  72908    0    0 49248     0 181445 186112 10  3 69 16  2	
 7  3      0 69375456   9244  72908    0    0 49584     0 177294 182077 10  3 68 17  2	
 8  1      0 69375456   9244  72908    0    0 48608     0 181075 185684  9  4 69 16  2	
 5  3      0 69375456   9244  72908    0    0 49600     0 179408 182755  9  3 69 17  2	
 7  1      0 69375456   9244  72908    0    0 49168     0 176583 182364 10  3 68 17  2	
 7  3      0 69375456   9252  72908    0    0 49680    12 181392 185986 10  3 69 16  2	
 8  0      0 69375456   9252  72908    0    0 48848     0 180139 185633 10  3 68 17  2	
 8  1      0 69375456   9252  72908    0    0 51920     0 178489 183612 10  3 68 17  2	
 9  2      0 69375456   9252  72908    0    0 48320     0 180662 186398 10  3 69 16  2	
 8  2      0 69375456   9252  72908    0    0 49984     0 180515 185981 10  3 69 16  2	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  1      0 69375328   9260  72908    0    0 48912    12 181608 187677 10  3 69 16  2	
 7  1      0 69375328   9260  72908    0    0 49056     0 182346 187592 10  3 69 16  2	
 6  3      0 69375328   9260  72908    0    0 48992     0 182413 187498 10  3 69 16  2	
 8  1      0 69375328   9260  72908    0    0 50384     0 181250 186769 10  4 69 16  2	
 5  3      0 69375328   9260  72908    0    0 49200     0 179641 185004 10  3 68 16  2	
 9  1      0 69375328   9260  72908    0    0 49632     0 180600 186702 10  3 69 16  2	
 8  1      0 69375328   9268  72908    0    0 49408    12 183299 188059 10  3 69 16  2	
 8  0      0 69375328   9268  72908    0    0 50752     0 182299 187368 10  3 69 16  2	
 6  3      0 69375328   9268  72908    0    0 48912     0 183182 188326 10  3 69 16  2	
 9  0      0 69375328   9268  72908    0    0 50480     0 179535 184281 10  3 69 17  2	
 7  1      0 69375328   9268  72908    0    0 48800    16 182447 187459 10  4 69 16  2	
 5  3      0 69375328   9276  72908    0    0 49312    24 180104 185207 11  3 69 16  2	
 7  1      0 69375328   9276  72912    0    0 50032     0 179710 183884  9  3 69 17  2	
 8  1      0 69375328   9276  72912    0    0 48864     0 178301 184518 10  3 68 17  2	
 7  2      0 69375328   9276  72912    0    0 49120     0 178639 182403  9  3 69 17  2	
10  1      0 69375328   9276  72912    0    0 50240    32 176237 182007  9  3 68 18  2	
 7  1      0 69375328   9276  72912    0    0 48768     0 178897 185287  9  4 69 17  2	
 6  3      0 69375328   9284  72912    0    0 48768    12 181636 186576 11  3 68 16  2	
 5  3      0 69375328   9284  72912    0    0 48896     0 178184 183453  9  3 69 17  2	
 5  3      0 69375328   9284  72912    0    0 49808     0 180734 185353 10  3 69 17  2	
 8  1      0 69375328   9284  72912    0    0 50368     0 182117 186488 10  3 69 16  2	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  1      0 69375328   9284  72912    0    0 50096     0 179954 185185 10  4 68 16  2	
 7  2      0 69375328   9292  72916    0    0 50272    12 182490 186845 10  3 68 16  2	
 8  2      0 69375328   9292  72916    0    0 48864     0 181822 187808 11  3 69 16  2	
 8  2      0 69375328   9292  72916    0    0 49072     0 179815 184934 11  3 68 16  2	
 6  2      0 69375328   9292  72916    0    0 49936     0 180668 185999 11  3 68 16  2	
 5  4      0 69375328   9292  72916    0    0 50800     0 178160 183697 10  3 69 16  2	
 8  3      0 69375328   9292  72916    0    0 49120     0 180011 186749 11  3 68 16  2	
 6  3      0 69375328   9300  72916    0    0 49552    12 181403 186782 10  4 69 16  2	
 6  3      0 69375328   9300  72916    0    0 48832     0 182504 187317 11  3 69 16  2	
 8  2      0 69375328   9300  72916    0    0 48848     0 181613 187473  9  3 70 16  2	
10  1      0 69375328   9300  72916    0    0 47248     0 174041 180001  9  3 69 17  2	
 8  2      0 69375328   9300  72916    0    0 49648     0 179712 184723  9  3 69 17  2	
 5  3      0 69375328   9308  72916    0    0 48960    12 181687 186964 10  3 69 17  2	
 6  3      0 69375328   9308  72916    0    0 49584     0 182714 186624  9  4 69 16  2	
 3  5      0 69375328   9308  72916    0    0 49104     0 179489 186144 11  4 68 16  2	
 4  5      0 69375328   9308  72916    0    0 49712     0 180951 186773  9  3 70 16  2	
 7  1      0 69375328   9308  72916    0    0 50384     0 181464 186878 10  4 68 16  2	
 4  4      0 69375328   9308  72916    0    0 49376     0 181708 187243 10  3 69 16  2	
 6  2      0 69375328   9316  72916    0    0 49328    12 182168 188213 11  3 69 16  2	
 8  2      0 69375328   9316  72916    0    0 51472     0 181572 186476  9  3 69 17  2	
 7  1      0 69375328   9316  72916    0    0 48128    16 181733 187114 10  4 69 16  2	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  1      0 69375328   9316  72916    0    0 48912     0 181641 186962 10  3 69 16  2	
10  0      0 69375328   9316  72916    0    0 48288     0 184733 189235 11  3 69 15  2	
 9  1      0 69375328   9324  72916    0    0 48640    20 180205 185438 10  4 69 16  2	
 9  0      0 69375328   9324  72916    0    0 51456     0 181336 185031 10  3 68 17  2	
10  0      0 69375328   9324  72916    0    0 47968     0 179803 185820 10  4 68 17  2	
 6  2      0 69375328   9324  72920    0    0 49856     0 181802 186540 10  3 69 16  2	
 8  2      0 69375328   9324  72920    0    0 50224     0 181388 186882 11  3 69 16  2	
 6  3      0 69375328   9324  72920    0    0 49264     0 181341 185973  9  3 70 16  2	
 8  2      0 69375328   9332  72920    0    0 47552    12 181210 187397 10  4 69 16  2	
 8  1      0 69375328   9332  72920    0    0 49440     8 180331 185793 11  3 69 16  2	
 8  2      0 69375336   9332  72920    0    0 50752     0 180138 184632 10  3 68 17  2	
 8  2      0 69375312   9332  72920    0    0 49488     0 178864 184728 10  3 69 17  2	
 9  0      0 69375312   9340  72912    0    0 48192    20 180078 185702 10  4 69 16  2	
 7  1      0 69375312   9340  72920    0    0 49248     0 182293 186883 11  3 68 16  2	
 7  3      0 69375312   9340  72920    0    0 49424     0 182574 187684 10  3 69 16  2	
 7  1      0 69375312   9340  72920    0    0 49568     0 178684 184465 11  3 68 17  2	
 5  4      0 69375312   9340  72920    0    0 49616     0 179827 185247 11  3 68 17  1	
 6  3      0 69375312   9340  72920    0    0 48192     0 179793 185014 10  3 69 16  2	
 9  1      0 69375312   9348  72920    0    0 49536    12 181388 185401 10  3 69 17  2	
 5  3      0 69375312   9348  72920    0    0 48368     0 177059 183558  9  3 69 17  2	
 8  1      0 69375312   9348  72920    0    0 49120     0 177595 184777 10  3 68 17  2	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  1      0 69375312   9348  72920    0    0 48688     0 176990 182690  9  3 69 17  2	
10  1      0 69375312   9348  72920    0    0 50000     0 178808 183407  9  3 69 17  2	
 8  1      0 69375312   9356  72916    0    0 48384    12 179241 184040 10  3 68 17  2	
 7  1      0 69375312   9356  72924    0    0 49888     0 178946 184652 10  4 68 17  2	
 7  2      0 69375312   9356  72924    0    0 49104     0 178114 184317  9  3 69 17  2	
 6  3      0 69375312   9356  72924    0    0 49280     0 178662 184834 10  3 69 17  2	
 5  4      0 69375312   9356  72924    0    0 48832     0 176281 181184 10  3 68 18  1	
 8  2      0 69375312   9356  72924    0    0 48880     0 175350 181666  9  3 69 18  2	
 9  0      0 69375312   9364  72924    0    0 49776    16 180401 185277  9  3 69 17  2	
 7  1      0 69375312   9364  72924    0    0 49856    16 180379 184788  9  3 69 17  2	
 7  1      0 69375312   9364  72924    0    0 49392     0 178544 184074 10  3 68 17  2	
 8  1      0 69375312   9364  72924    0    0 48928     0 177372 180658 10  3 69 17  2	
 6  3      0 69375312   9364  72924    0    0 49248     0 181524 186437  9  3 70 17  2	
 4  5      0 69375312   9372  72916    0    0 50944    20 180234 184254  9  3 69 17  2	
 7  2      0 69375312   9372  72924    0    0 48992     0 180624 186143  9  3 69 17  2	
 7  1      0 69375312   9372  72924    0    0 49680     0 178829 185240 11  3 68 17  2	
 6  4      0 69375312   9372  72924    0    0 48704     0 178389 183703 10  3 69 17  2	
 9  1      0 69375312   9372  72924    0    0 49280     0 181125 187036  9  3 69 16  2	
 7  2      0 69375312   9372  72928    0    0 48496     0 181757 186887 11  3 68 16  2	
 9  1      0 69375312   9380  72928    0    0 50144    12 181523 186162 10  3 68 16  2	
 7  2      0 69375312   9380  72928    0    0 49872     0 178674 183587 10  3 69 17  2	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  2      0 69375312   9380  72928    0    0 48640     0 179580 184739 10  3 69 17  2	
 9  1      0 69375312   9380  72928    0    0 48080     0 178323 184612 10  3 68 17  2	
 6  2      0 69375312   9380  72928    0    0 50336     0 178535 183720 10  3 68 17  2	
 6  2      0 69375312   9388  72920    0    0 48960    40 179871 184706 10  3 68 17  2	
 8  2      0 69375312   9388  72928    0    0 49056     0 177622 183260 10  3 68 17  2	
 8  1      0 69375312   9388  72928    0    0 50672     0 180599 185336 10  3 69 17  2	
 8  2      0 69375312   9388  72928    0    0 49424     0 182092 187194  9  3 70 16  2	
 7  2      0 69375312   9388  72928    0    0 49312     0 180285 185311 10  3 69 16  2	
 7  2      0 69375312   9388  72928    0    0 48912     0 180677 185273 10  3 69 17  2	
 4  4      0 69375312   9396  72928    0    0 51040    12 181217 186651 10  3 69 16  2	
 8  2      0 69375312   9396  72928    0    0 49200     0 178634 184029  9  3 69 17  2	
 3  5      0 69375312   9396  72928    0    0 50656     0 179492 185527 10  3 68 17  2	
 8  1      0 69375312   9396  72928    0    0 50064     0 180592 186092 10  3 69 16  2	
 5  3      0 69375312   9396  72928    0    0 47104     4 175479 181348  9  4 68 17  1	
 8  1      0 69375312   9404  72920    0    0 47008    12 175127 179975  7  3 70 18  2	
 4  4      0 69375312   9404  72928    0    0 48656     0 181150 185612 10  3 69 16  2	
 7  2      0 69375312   9404  72928    0    0 49408     0 179532 184001  8  3 69 17  2	
 7  2      0 69375312   9404  72928    0    0 49584     0 179748 185681 10  4 68 17  2	
 7  2      0 69375312   9404  72928    0    0 50160     0 183426 188733 10  3 69 16  2	
10  0      0 69375312   9404  72928    0    0 50208     0 184480 189322 10  3 69 15  2	
 8  1      0 69375312   9412  72928    0    0 48112    12 178709 184154 10  4 68 16  2	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  3      0 69375312   9412  72928    0    0 50320     0 182736 187627 10  3 69 16  2	
 9  0      0 69375312   9412  72932    0    0 48688     0 182590 189075 11  4 69 15  2	
10  1      0 69375312   9412  72932    0    0 50048     0 182173 187210 10  3 69 16  2	
 5  3      0 69375312   9412  72932    0    0 49760    16 181560 188077 10  4 69 16  2	
 5  3      0 69375312   9420  72924    0    0 48272    20 181096 187205  9  3 70 16  2	
 8  2      0 69375312   9420  72932    0    0 48800     0 181424 187454 10  3 69 16  2	
 9  2      0 69375312   9420  72932    0    0 49456     0 180132 185979 10  3 69 16  2	
 5  4      0 69375312   9420  72932    0    0 50528     0 183038 187519 11  3 69 16  2	
 7  1      0 69375312   9420  72932    0    0 49776     0 180741 185684 10  3 68 16  2	
 8  1      0 69375312   9420  72932    0    0 48592     0 180963 185286 11  3 69 16  2	
 8  1      0 69375312   9428  72936    0    0 49024    12 181277 186521 10  3 69 16  2	
 7  2      0 69375184   9428  72936    0    0 50288     0 183410 188771 11  4 68 16  2	
 5  2      0 69375184   9428  72936    0    0 49968     0 181525 188495 10  3 69 16  2	
 9  0      0 69375184   9428  72936    0    0 49264     8 182170 188303 10  3 69 16  2	
 6  2      0 69375184   9428  72936    0    0 50080     0 185191 189309 10  3 70 16  2	
 8  2      0 69375184   9436  72928    0    0 49136    12 176872 182050 10  3 68 17  2	
 7  1      0 69375184   9436  72936    0    0 48640     0 182522 188535 10  3 70 16  2	
 6  4      0 69375184   9436  72936    0    0 49168     0 180486 185428 10  3 69 17  2	
 9  1      0 69375184   9436  72936    0    0 48464     0 180296 185001  9  3 70 17  2	
 5  4      0 69375184   9436  72936    0    0 50912     0 181279 186267 10  4 68 16  2	
