procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 42600672  20272 117324    0    0   311  2870   56    0 20  4 72  4  0	
23  0      0 42302040  20272 117344    0    0     0     0 243840 275870 20 10 69  0  2	
122  0      0 42293484  20280 117344    0    0     0    36 22385 244707 79 20  1  0  0	
131  0      0 42289640  20280 117344    0    0     0     0 10052 251644 80 20  0  0  0	
131  0      0 42287780  20280 117344    0    0     0     0 5039 253193 80 20  0  0  0	
129  0      0 42287160  20280 117344    0    0     0     0 4131 252866 80 20  0  0  0	
131  0      0 42286912  20280 117344    0    0     0     0 4250 253507 81 19  0  0  0	
131  0      0 42286168  20280 117344    0    0     0     0 4147 253877 80 20  0  0  0	
132  0      0 42285920  20288 117344    0    0     0    12 4121 253868 79 21  0  0  0	
133  0      0 42285672  20288 117344    0    0     0     0 4120 254082 80 20  0  0  0	
131  0      0 42285548  20288 117344    0    0     0     0 4153 253856 81 19  0  0  0	
129  0      0 42285300  20288 117344    0    0     0     0 4152 253676 80 20  0  0  0	
130  0      0 42285052  20288 117344    0    0     0     0 4161 253729 81 19  0  0  0	
133  0      0 42284804  20296 117344    0    0     0    12 4134 253708 81 20  0  0  0	
131  0      0 42284804  20296 117344    0    0     0     0 4132 253315 80 20  0  0  0	
128  0      0 42284680  20296 117344    0    0     0     0 4132 251672 81 19  0  0  0	
132  0      0 42284308  20296 117344    0    0     0     0 4131 253818 80 20  0  0  0	
132  0      0 42284184  20296 117344    0    0     0     0 4125 253894 80 20  0  0  0	
129  0      0 42284060  20296 117344    0    0     0     0 4101 253836 80 20  0  0  0	
130  0      0 42284060  20304 117344    0    0     0    12 4151 253932 80 20  0  0  0	
129  0      0 42283936  20304 117344    0    0     0     0 4116 253863 81 19  0  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
129  0      0 42283812  20304 117344    0    0     0     0 4135 253808 79 21  0  0  0	
131  0      0 42283440  20304 117344    0    0     0     0 4125 253435 80 20  0  0  0	
128  0      0 42283316  20304 117344    0    0     0     0 4129 253642 80 20  0  0  0	
133  0      0 42283316  20312 117344    0    0     0    12 4107 253448 80 20  0  0  0	
129  0      0 42283068  20312 117344    0    0     0     0 4155 252423 80 20  0  0  0	
131  0      0 42283068  20312 117344    0    0     0     0 4152 253716 81 19  0  0  0	
131  0      0 42282820  20312 117344    0    0     0     0 4168 253833 80 20  0  0  0	
130  0      0 42282820  20312 117344    0    0     0     0 4131 253665 81 19  0  0  0	
132  0      0 42282324  20312 117344    0    0     0     0 4161 253724 79 21  0  0  0	
131  0      0 42282324  20320 117344    0    0     0    20 4124 253833 80 20  0  0  0	
130  0      0 42282324  20320 117348    0    0     0    16 4137 253797 81 19  0  0  0	
131  0      0 42282324  20320 117352    0    0     0     0 4148 253219 80 20  0  0  0	
133  0      0 42282076  20320 117352    0    0     0     0 4111 253962 81 19  0  0  0	
130  0      0 42282076  20320 117352    0    0     0     0 4132 253268 81 19  0  0  0	
132  0      0 42281952  20328 117352    0    0     0    32 4116 249206 80 20  0  0  0	
132  0      0 42281828  20328 117352    0    0     0    32 4179 253864 79 21  0  0  0	
132  0      0 42281580  20328 117352    0    0     0     0 4119 253726 80 20  0  0  0	
134  0      0 42281580  20328 117352    0    0     0     0 4127 253718 79 21  0  0  0	
131  0      0 42281456  20328 117352    0    0     0     0 4115 253818 81 19  0  0  0	
131  0      0 42281456  20328 117352    0    0     0     0 4108 253816 79 21  0  0  0	
132  0      0 42281332  20336 117356    0    0     0    20 4177 253741 79 21  0  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
133  0      0 42281208  20336 117356    0    0     0     0 4148 253487 82 19  0  0  0	
128  0      0 42281084  20336 117360    0    0     0     0 4134 253643 82 18  0  0  0	
131  0      0 42281084  20336 117360    0    0     0     0 4094 253212 81 19  0  0  0	
131  0      0 42281084  20336 117360    0    0     0     0 4132 252760 80 20  0  0  0	
132  0      0 42281084  20344 117360    0    0     0    20 4147 253616 80 20  0  0  0	
129  0      0 42280836  20344 117360    0    0     0     0 4119 253839 80 20  0  0  0	
132  0      0 42280836  20344 117360    0    0     0     0 4113 253672 81 19  0  0  0	
129  0      0 42280836  20344 117360    0    0     0     0 4105 253780 81 19  0  0  0	
131  0      0 42280836  20344 117360    0    0     0     0 4125 253810 81 19  0  0  0	
132  0      0 42280836  20344 117360    0    0     0     0 4141 253604 80 20  0  0  0	
131  0      0 42280836  20352 117360    0    0     0    24 4129 253742 81 19  0  0  0	
130  0      0 42280712  20352 117360    0    0     0     0 4104 253901 79 21  0  0  0	
132  0      0 42280712  20352 117360    0    0     0     0 4112 253175 80 20  0  0  0	
132  0      0 42280588  20352 117360    0    0     0     0 4110 251922 80 20  0  0  0	
132  0      0 42280588  20352 117360    0    0     0     0 4122 253650 81 19  0  0  0	
128  0      0 42280464  20360 117360    0    0     0    56 4105 253769 80 20  0  0  0	
130  0      0 42280464  20360 117360    0    0     0     0 4115 253789 81 19  0  0  0	
134  0      0 42280464  20360 117360    0    0     0     0 4102 253713 80 20  0  0  0	
129  0      0 42280464  20360 117360    0    0     0     0 4105 253731 81 19  0  0  0	
128  0      0 42280464  20360 117360    0    0     0     0 4114 253386 81 19  0  0  0	
133  0      0 42280464  20360 117360    0    0     0    16 4101 252405 79 21  0  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
133  0      0 42280464  20368 117360    0    0     0    20 4120 253292 80 20  0  0  0	
129  0      0 42280340  20368 117364    0    0     0     0 4125 253023 80 20  0  0  0	
129  0      0 42280216  20368 117364    0    0     0     0 4115 252506 80 20  0  0  0	
129  0      0 42280216  20368 117364    0    0     0     0 4127 253444 80 20  0  0  0	
133  0      0 42280216  20368 117364    0    0     0     0 4119 253770 80 20  0  0  0	
128  0      0 42280216  20376 117364    0    0     0    12 4100 253829 81 19  0  0  0	
131  0      0 42280092  20376 117364    0    0     0     0 4121 253501 80 20  0  0  0	
130  0      0 42280092  20376 117364    0    0     0     0 4135 253716 81 19  0  0  0	
130  0      0 42279968  20376 117364    0    0     0     0 4110 253710 81 19  0  0  0	
134  0      0 42279968  20376 117364    0    0     0    36 4118 253762 81 19  0  0  0	
133  0      0 42279844  20376 117364    0    0     0     0 4100 253599 80 20  0  0  0	
132  0      0 42279844  20384 117364    0    0     0    12 4113 253465 81 19  0  0  0	
