procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 97520864  10556  69884    0    0  3520     2   30  136 33 11 48  9  1	
 7  9      0 97492752  10556  69892    0    0 164736     0 214775 240116 19  7 43 29  2	
 7  9      0 97488656  10556  69892    0    0 186160     0 210689 241549 20  6 36 35  3	
13  4      0 97488408  10564  69892    0    0 178352    40 210426 237730 19  6 38 36  2	
 9  8      0 97487296  10564  69892    0    0 185776     0 211313 239288 18  6 37 36  2	
12  4      0 97485184  10564  69892    0    0 180000     0 209547 236509 18  6 37 37  3	
11  6      0 97484936  10564  69892    0    0 182400     0 206617 233416 19  5 37 37  2	
10  6      0 97484560  10564  69892    0    0 181744     0 210822 239088 19  5 37 36  2	
11  7      0 97483328  10572  69888    0    0 183264    12 210749 239229 18  6 37 36  3	
 6 11      0 97483328  10572  69892    0    0 175120     0 203885 224421 17  5 35 40  2	
12  6      0 97483328  10572  69892    0    0 163296     0 199596 216641 15  5 35 43  2	
12  8      0 97483328  10572  69892    0    0 163392     0 199467 216008 15  4 35 44  2	
14  4      0 97483328  10572  69892    0    0 163280     0 195953 210723 13  4 35 46  2	
12  5      0 97483328  10572  69892    0    0 163408     0 199768 216652 16  4 35 43  2	
 9  9      0 97483328  10580  69892    0    0 163360    12 198909 214698 14  4 36 44  2	
10  9      0 97483328  10580  69892    0    0 163360     0 198145 212831 13  4 37 44  2	
 6 12      0 97483328  10580  69892    0    0 163392     0 197469 214574 15  4 36 43  2	
12  7      0 97483328  10580  69892    0    0 163216     0 199531 216004 15  4 36 43  2	
12  5      0 97483328  10580  69892    0    0 163392     4 198414 213047 15  4 35 44  2	
 8  9      0 97483328  10588  69892    0    0 163344    12 199484 215673 14  5 36 44  2	
 8  9      0 97483328  10588  69892    0    0 163376     0 197730 213316 14  4 35 45  2	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
10  9      0 97483328  10588  69892    0    0 163328     0 196289 210594 15  4 35 45  2	
 9  8      0 97483328  10588  69892    0    0 163296     0 197442 211714 13  5 36 44  2	
10  7      0 97483328  10588  69892    0    0 163408    32 199653 217261 15  4 36 43  2	
 9  7      0 97483328  10588  69892    0    0 163312     0 198652 213900 13  5 36 44  2	
 6 11      0 97483328  10596  69892    0    0 163424    12 198239 213885 14  4 35 44  2	
 7 10      0 97483328  10596  69892    0    0 163280     0 199681 215886 15  4 36 43  2	
 8  9      0 97483328  10596  69892    0    0 163312     0 199627 215267 14  3 36 45  2	
 8  9      0 97483328  10596  69892    0    0 163408     0 197926 211703 14  4 35 45  2	
12  4      0 97483328  10596  69892    0    0 163280     0 200303 217960 14  4 36 43  2	
 4 12      0 97483328  10604  69892    0    0 163440    12 200835 216082 15  4 35 44  2	
 8  9      0 97483328  10604  69892    0    0 163296     0 197831 213501 13  5 36 45  2	
 9  9      0 97483328  10604  69892    0    0 163344     0 197398 212188 14  4 35 44  2	
 9  8      0 97483328  10604  69896    0    0 163312    24 198344 213632 14  3 36 44  2	
 9  9      0 97483328  10604  69896    0    0 163328     0 199298 215086 15  4 35 43  2	
 9  8      0 97483328  10604  69896    0    0 163312     0 196618 214419 14  5 35 44  2	
 6 10      0 97483328  10612  69896    0    0 163424    24 197884 212901 14  4 35 45  2	
 9  6      0 97483328  10612  69896    0    0 163168     0 198532 213827 14  4 36 44  2	
13  5      0 97483328  10612  69896    0    0 162832     0 198618 215307 13  4 37 44  2	
 9  7      0 97483328  10612  69896    0    0 163936     0 198086 214881 14  4 36 45  2	
11  7      0 97483328  10612  69896    0    0 163312     0 196616 210632 13  4 35 46  2	
 8 10      0 97483328  10620  69896    0    0 163408    12 198622 214244 14  4 35 45  2	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  8      0 97483328  10620  69896    0    0 163344     0 197382 213570 14  4 36 44  2	
 7 10      0 97483328  10620  69900    0    0 163296     0 200874 217012 15  4 35 44  2	
 4 12      0 97483328  10620  69900    0    0 163424     0 198699 215337 15  4 36 43  2	
 9  8      0 97483328  10620  69900    0    0 163200     0 197832 213115 14  4 35 45  2	
10  7      0 97483328  10620  69900    0    0 163424     0 197897 215308 18  5 34 41  2	
 8  7      0 97483328  10628  69900    0    0 163344    12 197565 213535 16  3 35 44  2	
11  6      0 97483328  10628  69900    0    0 163328     0 196783 212727 15  3 36 44  2	
 5 11      0 97483328  10628  69900    0    0 163360     0 198115 214255 15  3 35 45  2	
11  6      0 97483328  10628  69900    0    0 151184     0 185728 196435 12  3 35 48  2	
 8  9      0 97483328  10628  69900    0    0 175504     0 209766 232096 17  5 37 38  2	
 9  8      0 97483328  10636  69900    0    0 163360    12 199292 215510 14  4 35 44  2	
 3 13      0 97483328  10636  69900    0    0 163392     0 199104 214764 15  5 35 44  2	
 3 14      0 97483328  10636  69900    0    0 163296     0 199055 214395 14  4 36 44  2	
13  4      0 97483328  10636  69900    0    0 163184     0 197274 214487 14  4 36 44  2	
12  5      0 97483328  10636  69900    0    0 163360     0 197690 214317 15  5 35 43  2	
13  6      0 97483328  10636  69900    0    0 163344     0 200106 216037 15  4 36 43  2	
10  6      0 97483328  10644  69900    0    0 163360    12 199865 216963 14  5 36 44  2	
 9  7      0 97483328  10644  69900    0    0 163376    12 198822 214780 15  4 36 43  2	
10  6      0 97483328  10644  69900    0    0 163296     0 198418 214422 15  4 35 44  2	
 6 12      0 97483328  10644  69900    0    0 163408     0 199848 216022 16  5 36 42  2	
11  7      0 97483328  10644  69900    0    0 163280     0 197780 212760 13  5 36 44  2	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3 13      0 97483328  10652  69900    0    0 163408    12 198539 214752 15  4 35 44  2	
 5 11      0 97483328  10652  69900    0    0 163296    12 197833 212649 14  4 36 44  2	
 7  9      0 97483328  10652  69900    0    0 163344     0 196722 210162 15  3 35 45  2	
11  5      0 97483328  10652  69900    0    0 163312     0 198406 214799 15  4 35 43  2	
11  8      0 97483328  10652  69904    0    0 163424     0 198274 212974 13  4 35 45  2	
 8 11      0 97483328  10652  69904    0    0 163344     0 197176 211259 14  4 35 45  2	
 9  8      0 97483328  10660  69904    0    0 163280    20 196528 210727 14  4 35 45  2	
11  8      0 97483328  10660  69904    0    0 163328     0 197945 213316 14  4 35 44  2	
 6 11      0 97483328  10660  69904    0    0 163360     0 197422 213054 14  5 35 44  2	
10  8      0 97483328  10660  69904    0    0 163344     0 198017 215211 15  4 36 44  2	
 8  8      0 97483328  10660  69904    0    0 163360     0 199056 215107 15  5 35 43  2	
14  4      0 97483328  10668  69904    0    0 163312    12 194783 210868 15  4 35 44  2	
 8 10      0 97483328  10668  69904    0    0 163408     0 197698 213155 14  4 36 44  2	
 7 10      0 97483328  10668  69904    0    0 163376     0 192724 209936 15  4 35 44  2	
 8  9      0 97483328  10668  69904    0    0 163296     0 197249 214749 15  4 35 44  2	
 6 11      0 97483328  10668  69904    0    0 163376     0 197648 214800 16  4 35 44  2	
10  7      0 97483328  10668  69904    0    0 163248     0 194407 209099 15  4 34 44  2	
11  6      0 97483328  10676  69904    0    0 163360    12 196169 210248 14  4 34 46  2	
12  7      0 97483328  10676  69904    0    0 163088     0 195658 214428 15  5 35 44  2	
 6 11      0 97483328  10676  69904    0    0 163696     0 196283 211938 14  4 35 45  2	
 7  9      0 97483328  10676  69904    0    0 163312     0 197668 213308 14  4 36 44  2	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
10  7      0 97483328  10676  69904    0    0 163296     0 197986 215155 15  5 35 43  2	
11  6      0 97483328  10684  69908    0    0 163328    12 198108 214690 17  4 34 43  2	
10  6      0 97483328  10684  69908    0    0 163376     0 196932 212338 16  4 34 44  2	
11  7      0 97483328  10684  69908    0    0 163360     0 197849 215350 14  5 35 44  2	
 7  9      0 97483328  10684  69908    0    0 163328     0 195360 211080 14  4 35 45  2	
 6 10      0 97483328  10684  69908    0    0 163360     0 196458 209131 15  4 34 45  2	
10  8      0 97483328  10684  69908    0    0 163248     0 196551 212631 14  4 35 45  2	
 9  9      0 97483328  10692  69908    0    0 163392    12 196389 210517 14  4 35 45  2	
10  8      0 97483328  10692  69908    0    0 163328     0 199258 216802 15  5 35 43  2	
 9  8      0 97483328  10692  69908    0    0 163344     0 196260 212635 14  4 35 45  2	
 9  7      0 97483328  10692  69908    0    0 163344     0 197548 213751 14  4 35 45  2	
 7 10      0 97483328  10692  69908    0    0 163392    24 198092 213993 14  4 36 45  2	
11  7      0 97483200  10700  69908    0    0 163344    24 198052 214804 16  5 35 42  2	
10  6      0 97483200  10700  69908    0    0 163232     0 198552 215431 13  5 36 44  2	
 7 10      0 97483200  10700  69908    0    0 163472     0 197758 211640 14  4 35 45  2	
 8 10      0 97483200  10700  69908    0    0 163376     0 196043 211776 15  4 34 44  2	
 8  8      0 97483200  10700  69908    0    0 163296     0 198325 214745 15  4 35 44  2	
 9  7      0 97483200  10700  69912    0    0 163376     0 197732 213822 15  4 35 45  2	
15  6      0 97483200  10708  69912    0    0 163360    12 196973 212832 14  4 36 44  2	
 5 11      0 97483200  10708  69912    0    0 163360     0 196791 211727 14  4 35 45  2	
 8  9      0 97483200  10708  69912    0    0 163328     0 195140 212206 14  5 35 44  2	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6 11      0 97483200  10708  69912    0    0 163296     0 197549 213320 15  4 35 44  2	
 0 16      0 97483200  10708  69912    0    0 162688     0 196386 213013 15  4 36 43  2	
10  9      0 97483200  10716  69912    0    0 163968    12 194642 211728 15  5 34 45  2	
11  8      0 97483200  10716  69912    0    0 163296     0 198379 215120 15  4 35 44  2	
10  7      0 97483200  10716  69912    0    0 163360     0 197357 213488 15  4 35 44  2	
 5 12      0 97483200  10716  69912    0    0 163408     0 200666 216752 15  5 35 43  2	
 7  9      0 97483200  10716  69912    0    0 163328     0 200611 217711 15  4 36 43  2	
 4 12      0 97483200  10716  69912    0    0 163360     0 197921 213068 14  4 36 45  2	
 8  9      0 97483200  10724  69912    0    0 163264    16 200289 217089 15  4 36 43  2	
 8  8      0 97483200  10724  69912    0    0 163152     0 198785 213343 14  5 35 44  2	
11  8      0 97483200  10724  69912    0    0 163504     0 200295 215923 13  5 36 44  2	
12  7      0 97483200  10724  69912    0    0 163328     0 196170 212689 15  4 35 43  2	
 6 10      0 97483200  10724  69912    0    0 163376     0 198094 213315 13  4 36 45  2	
13  7      0 97483200  10732  69912    0    0 163280    12 197364 211817 13  5 35 45  2	
14  8      0 97483200  10732  69912    0    0 163360     0 198979 217205 14  5 36 43  2	
