procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 69390712   7780  71984    0    0  1607     2   42  331 39 13 44  4  0	
 2  0      0 69386640   7780  72008    0    0 14816     0 55778 55741  1  1 94  3  0	
 2  0      0 69386144   7780  72008    0    0 15280    16 56262 56461  1  0 95  4  0	
 1  1      0 69386144   7780  72008    0    0 14560     0 56749 56900  1  1 94  4  0	
 2  0      0 69386144   7780  72008    0    0 14704     0 54783 54967  1  0 94  4  0	
 0  2      0 69386144   7780  72008    0    0 14608     0 56142 56233  1  0 95  4  0	
 2  0      0 69386144   7788  72000    0    0 14784    36 56259 56420  1  1 94  4  0	
 0  2      0 69386144   7788  72008    0    0 14672     0 56694 56835  1  1 94  4  0	
 1  1      0 69386144   7788  72008    0    0 15376     0 56723 56931  1  0 94  4  0	
 2  0      0 69386144   7788  72008    0    0 15120     0 54646 54850  1  1 94  4  0	
 0  2      0 69386144   7788  72008    0    0 15200     0 54776 54931  1  0 94  4  0	
 1  1      0 69386144   7796  72008    0    0 15136    12 55783 55961  1  1 94  4  0	
 1  1      0 69386144   7796  72008    0    0 14176     0 57141 57316  1  1 94  4  0	
 2  0      0 69386144   7796  72008    0    0 14976     0 56410 56621  1  1 94  4  0	
 2  0      0 69386144   7796  72008    0    0 14640     0 55652 55813  1  0 94  4  0	
 1  1      0 69386144   7796  72008    0    0 14416     0 55781 55929  1  0 95  4  0	
 2  0      0 69386144   7796  72008    0    0 15184     0 55705 55869  1  1 94  4  0	
 4  0      0 69386144   7804  72008    0    0 15136    12 55784 55941  1  1 94  4  0	
 3  0      0 69386144   7804  72008    0    0 14384     0 53456 53613  1  0 94  4  0	
 0  2      0 69386144   7804  72008    0    0 14336     0 56272 56402  1  1 94  4  0	
 2  0      0 69386144   7804  72008    0    0 14960     0 55420 55660  1  1 94  4  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1      0 69386144   7804  72008    0    0 14256     0 57168 57306  1  0 95  4  0	
 2  0      0 69386144   7812  72000    0    0 15536    12 55789 55998  1  1 94  4  0	
 1  1      0 69386144   7812  72000    0    0 15232     0 57281 57433  1  0 94  4  0	
 2  0      0 69386144   7812  72000    0    0 15664     0 55786 56019  1  1 94  4  0	
 2  0      0 69386144   7812  72008    0    0 14656     0 54773 54942  1  1 94  4  0	
 3  1      0 69386144   7812  72008    0    0 14688     0 57176 57363  1  1 94  4  0	
 2  0      0 69386144   7812  72008    0    0 14512     0 57262 57386  1  0 94  4  0	
 2  0      0 69386144   7820  72000    0    0 15104    12 57559 57729  1  0 95  4  0	
 0  2      0 69386144   7820  72000    0    0 14528     0 55429 55598  1  0 94  4  0	
 2  0      0 69386144   7820  72000    0    0 15456     0 56193 56339  1  1 94  4  0	
 2  1      0 69386144   7820  72000    0    0 16000     0 55472 55647  1  1 94  4  0	
