procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 97394768  13824  75104    0    0  4390     1   56   95 31 10 46 12  1	
119 82      0 97092048  13824  75120    0    0 84288     0 221130 283742 27 12 59  1  2	
 6 122      0 97082312  13824  75120    0    0 287920     0 84994 219402 60 22  0 18  0	
12 119      0 97081384  13824  75120    0    0 163328     0 201780 210146 20  8  0 71  2	
12 120      0 97080296  13824  75120    0    0 163360     0 197745 208599 19  7  0 73  2	
 6 123      0 97078712  13824  75120    0    0 163392     0 202429 210080 19  7  0 72  2	
15 114      0 97074648  13832  75120    0    0 163200    36 196657 207348 18  6  0 73  2	
 6 122      0 97074464  13832  75120    0    0 163456     0 197790 211255 18  7  0 74  2	
 7 123      0 97073440  13832  75120    0    0 163392     0 194297 209793 16  6  0 75  2	
12 117      0 97073000  13832  75120    0    0 163232     0 193157 208150 16  5  0 77  2	
 7 122      0 97072688  13832  75120    0    0 163456     0 195714 208972 17  5  0 77  2	
12 117      0 97072256  13840  75120    0    0 163312    12 193050 209958 17  4  0 76  2	
 8 122      0 97071352  13840  75120    0    0 163376     0 195254 211120 16  6  0 76  2	
 6 123      0 97070976  13840  75120    0    0 163360     0 191880 207065 17  5  0 76  2	
 5 123      0 97070640  13840  75120    0    0 163360     0 191986 205921 16  4  0 78  2	
 7 121      0 97070640  13840  75120    0    0 163280     0 192523 210086 17  5  0 76  2	
 8 122      0 97070240  13840  75120    0    0 163328     0 194392 209390 17  5  0 76  2	
18 115      0 97070240  13848  75120    0    0 163280    12 192489 207551 15  4  0 79  2	
11 119      0 97070176  13848  75120    0    0 163344     0 193208 208783 16  5  0 77  2	
 6 122      0 97070336  13848  75120    0    0 163360     0 191072 209885 17  4  0 77  2	
 7 123      0 97069992  13848  75120    0    0 163424     0 187542 205257 17  5  0 76  2	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
12 119      0 97069928  13848  75120    0    0 163280     0 187741 204333 16  4  0 77  2	
12 119      0 97069520  13856  75120    0    0 163392    12 193206 209746 17  4  0 77  2	
11 118      0 97069744  13856  75120    0    0 163296     0 186570 204599 17  4  0 77  2	
 8 123      0 97069432  13856  75120    0    0 163456     0 189470 204766 15  4  0 79  2	
15 116      0 97069248  13856  75120    0    0 163216     0 190436 205746 15  4  0 78  2	
11 120      0 97069184  13856  75120    0    0 163456     0 189286 205884 16  5  0 77  2	
 7 123      0 97069216  13856  75120    0    0 163408    32 185118 204439 18  5  0 76  2	
 7 121      0 97069312  13864  75120    0    0 163264    12 191234 206429 15  4  0 79  2	
 9 119      0 97069184  13864  75120    0    0 163296     0 192257 207690 16  4  0 78  2	
 8 120      0 97069344  13864  75120    0    0 163344     0 192310 207697 16  4  0 79  2	
 7 122      0 97069184  13864  75120    0    0 163360     0 193035 206872 16  4  0 78  2	
 8 120      0 97069120  13864  75120    0    0 163360    16 186539 203182 15  5  0 78  2	
 9 120      0 97069088  13872  75112    0    0 163344    24 189283 204730 16  4  0 78  2	
11 119      0 97069248  13872  75124    0    0 163328     0 186406 204345 16  4  0 78  2	
 8 122      0 97069216  13872  75124    0    0 163456     0 191311 205751 15  4  0 79  2	
10 119      0 97068840  13872  75124    0    0 163344     0 191208 206848 15  4  0 79  2	
 8 122      0 97068968  13872  75124    0    0 163360     0 191339 206102 15  4  0 79  2	
 9 122      0 97068808  13872  75124    0    0 163360     0 193458 212183 16  5  0 77  2	
11 121      0 97068840  13880  75124    0    0 163344    12 192960 208485 16  4  0 79  2	
 9 121      0 97068808  13880  75124    0    0 163344     0 192459 209263 15  4  0 80  2	
 9 121      0 97069160  13880  75124    0    0 163376     0 191340 205653 15  4  0 79  2	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
12 119      0 97069288  13880  75124    0    0 163344     0 194438 210580 16  5  0 77  2	
 5 123      0 97069000  13880  75128    0    0 163408     0 194299 210978 16  4  0 78  2	
13 117      0 97068904  13888  75120    0    0 163328    16 192754 207075 16  3  0 79  2	
11 118      0 97069064  13888  75128    0    0 163360     0 187827 204390 14  5  0 79  2	
12 118      0 97069128  13888  75128    0    0 163344     0 187476 204735 16  5  0 78  2	
12 119      0 97068944  13888  75128    0    0 163376     0 189189 205711 16  4  0 78  2	
 4 124      0 97068816  13888  75128    0    0 163408     0 193128 208628 15  4  0 79  2	
12 117      0 97068688  13888  75128    0    0 163280     0 192221 206889 16  4  0 78  2	
10 119      0 97068752  13896  75128    0    0 163360    12 191293 204035 15  4  0 79  2	
 2 125      0 97068752  13896  75128    0    0 163440     0 194134 212049 16  4  0 78  2	
 8 121      0 97068720  13896  75128    0    0 163296     0 193021 209157 15  4  0 79  2	
10 118      0 97068624  13896  75128    0    0 163312     0 192433 208152 15  4  0 79  2	
10 119      0 97068784  13896  75128    0    0 163408     0 191162 206290 15  4  0 80  2	
10 118      0 97068592  13904  75120    0    0 163328    12 190328 206093 17  4  0 78  2	
 8 121      0 97068528  13904  75128    0    0 163376     0 192062 208979 16  4  0 79  2	
 3 125      0 97068592  13904  75128    0    0 163360     0 190974 206036 15  4  0 79  2	
 9 120      0 97068880  13904  75128    0    0 163312    16 192447 207797 16  4  0 78  2	
 9 120      0 97068944  13904  75128    0    0 163312     0 193958 209043 16  5  0 77  2	
 7 121      0 97068816  13904  75128    0    0 163408     0 192586 206627 15  4  0 79  2	
 8 120      0 97068656  13912  75128    0    0 163344    12 193223 207803 15  4  0 79  2	
11 119      0 97068464  13912  75128    0    0 163328     0 193358 208950 17  4  0 77  2	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11 121      0 97068752  13912  75128    0    0 163376    16 188729 205712 17  5  0 77  2	
 9 120      0 97069136  13912  75128    0    0 163328     0 191101 205715 15  4  0 79  2	
12 118      0 97069104  13912  75128    0    0 163344     0 190921 206572 15  4  0 79  2	
 8 120      0 97068880  13920  75124    0    0 163360    20 192248 207908 15  4  0 79  2	
 5 124      0 97068944  13920  75132    0    0 163424     0 192673 206011 15  4  0 79  2	
 5 123      0 97068848  13920  75132    0    0 163312     0 191010 205096 15  4  0 79  2	
 8 120      0 97068944  13920  75132    0    0 163296     0 192824 209213 16  4  0 77  2	
 5 124      0 97069168  13920  75132    0    0 163408     0 190529 206443 15  5  0 78  2	
10 120      0 97069008  13920  75132    0    0 163264     0 192756 206897 16  4  0 79  2	
 6 123      0 97068848  13928  75132    0    0 163456    12 193031 208704 15  4  0 79  2	
 6 121      0 97068784  13928  75132    0    0 163296     0 190807 205637 16  4  0 79  2	
 8 121      0 97068656  13928  75132    0    0 163360     0 193182 207429 16  4  0 78  2	
12 119      0 97068624  13928  75132    0    0 163360     0 190790 205150 16  4  0 78  2	
 8 122      0 97068432  13928  75132    0    0 163392     0 191842 207838 17  4  0 77  2	
 7 123      0 97068624  13936  75124    0    0 163344    12 193404 209415 16  4  0 78  2	
10 119      0 97068848  13936  75132    0    0 163248     4 192216 206621 15  4  0 79  2	
11 119      0 97068848  13936  75132    0    0 163360     0 191455 206558 15  4  0 79  2	
10 119      0 97068656  13936  75132    0    0 163392     0 190514 204995 14  4  0 80  2	
 4 124      0 97068688  13936  75132    0    0 163392     0 190644 204584 15  4  0 79  2	
12 119      0 97068624  13936  75132    0    0 163248     0 192704 209010 16  3  0 79  2	
11 120      0 97068656  13944  75132    0    0 163408    12 192824 211038 16  4  0 77  2	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
10 119      0 97068432  13944  75136    0    0 163328     0 190903 205666 16  5  0 78  2	
 7 121      0 97068192  13944  75136    0    0 163408     0 190952 207757 15  5  0 79  2	
 3 125      0 97068224  13944  75136    0    0 163376     0 192654 208292 15  5  0 78  2	
10 119      0 97068128  13944  75136    0    0 163232     0 192190 209684 16  4  0 78  2	
 4 125      0 97067968  13952  75128    0    0 163408    20 192727 208464 15  4  0 78  2	
 6 123      0 97067968  13952  75136    0    0 163296     0 193560 209803 14  4  0 80  2	
17 116      0 97068128  13952  75136    0    0 163264     0 191074 205765 15  4  0 80  2	
 2 126      0 97068224  13952  75136    0    0 163456     0 193134 208851 16  4  0 78  2	
 8 121      0 97068064  13952  75136    0    0 163280     0 192170 206584 15  4  0 79  2	
 8 120      0 97068224  13952  75136    0    0 163360     0 191967 207153 15  4  0 79  2	
12 119      0 97068224  13960  75136    0    0 163328    48 190963 208069 15  5  0 78  2	
14 116      0 97068416  13960  75136    0    0 163328     0 189678 205652 17  4  0 78  2	
 0 128      0 97068416  13960  75136    0    0 162592     0 191691 206116 15  4  0 79  2	
 4 124      0 97068384  13960  75136    0    0 164176     0 185674 205265 17  4  0 77  2	
 8 121      0 97068224  13960  75136    0    0 163248     0 191653 208211 16  4  0 78  2	
 6 123      0 97068160  13968  75128    0    0 163392    20 192866 209641 16  4  0 77  2	
 5 124      0 97067936  13968  75140    0    0 163344     0 192393 206745 15  4  0 79  2	
 5 124      0 97067776  13968  75140    0    0 163328     0 193799 207293 16  4  0 78  2	
 6 122      0 97067776  13968  75140    0    0 163264     0 193182 209522 16  4  0 78  2	
 5 123      0 97068192  13968  75140    0    0 163344     0 189756 204856 16  4  0 78  2	
 6 123      0 97068128  13976  75140    0    0 163376    12 193219 209705 15  5  0 77  2	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6 122      0 97068192  13976  75140    0    0 163280     0 191883 207976 15  4  0 79  2	
11 119      0 97068288  13976  75140    0    0 163328     0 192072 207559 15  4  0 80  2	
 4 125      0 97068296  13976  75140    0    0 163408     0 189802 205602 16  4  0 78  2	
 4 124      0 97068136  13976  75140    0    0 163280     0 192360 207093 15  4  0 79  2	
 6 122      0 97068048  13976  75140    0    0 163344     0 191594 207520 16  4  0 78  2	
12 119      0 97067920  13984  75140    0    0 163280    12 191184 205685 15  4  0 79  2	
 3 125      0 97067888  13984  75140    0    0 163408     0 192969 209072 19  4  0 76  2	
 2 126      0 97067760  13984  75140    0    0 163312     0 191650 204910 15  4  0 79  2	
12 117      0 97067600  13984  75140    0    0 163232     0 191010 207152 16  4  0 77  2	
 6 123      0 97067536  13984  75140    0    0 163424     8 189911 205163 14  4  0 80  2	
 5 123      0 97067824  13992  75136    0    0 163344    12 191968 209036 16  4  0 77  2	
 9 120      0 97067760  13992  75140    0    0 163328     0 193196 208750 16  3  0 78  2	
10 119      0 97067792  13992  75140    0    0 163344     0 190869 206392 16  4  0 78  2	
10 119      0 97067760  13992  75140    0    0 163312     0 193345 209421 16  4  0 78  2	
14 116      0 97067856  13992  75140    0    0 163296     0 192198 207094 15  4  0 79  2	
11 119      0 97067408  13992  75140    0    0 163376     0 190838 204133 14  4  0 80  2	
12 116      0 97067408  14000  75140    0    0 163360    12 193717 210838 17  4  0 77  2	
 5 123      0 97067504  14000  75140    0    0 163392     0 192920 207130 15  4  0 79  2	
12 118      0 97068016  14000  75140    0    0 163296     0 192445 209641 16  5  0 77  2	
 4 125      0 97067888  14000  75140    0    0 163424     8 191532 205017 14  4  0 80  2	
11 118      0 97067824  14000  75140    0    0 163248     0 192923 209325 16  4  0 78  2	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8 122      0 97067760  14008  75140    0    0 163360    20 194430 211392 17  4  0 77  2	
11 119      0 97067792  14008  75144    0    0 163344     0 192049 206619 15  4  0 79  2	
15 116      0 97067632  14008  75144    0    0 163328     0 194192 210320 16  5  0 78  2	
 1 127      0 97067568  14008  75144    0    0 163440    12 192536 208465 15  4  0 79  2	
 7 122      0 97067472  14008  75144    0    0 163248     0 192749 208637 16  4  0 79  2	
 5 124      0 97067568  14008  75144    0    0 163360     0 192815 207933 16  4  0 77  2	
 8 120      0 97067760  14016  75148    0    0 163328    20 192426 209573 16  3  0 79  2	
 6 122      0 97067856  14016  75148    0    0 163376     0 192618 207902 16  4  0 78  2	
 8 121      0 97067920  14016  75148    0    0 163344     0 191111 207716 16  4  0 78  2	
11 120      0 97067920  14016  75148    0    0 163360     0 190559 207818 16  4  0 78  2	
 7 122      0 97067952  14016  75148    0    0 163376     0 192401 208856 16  4  0 78  2	
12 118      0 97067856  14024  75140    0    0 163312    12 192481 207161 16  4  0 78  2	
 9 119      0 97067792  14024  75148    0    0 163360     0 190106 203780 14  4  0 81  2	
 7 121      0 97067696  14024  75148    0    0 163392     0 193166 207694 16  4  0 78  2	
14 115      0 97067824  14024  75148    0    0 163264     0 195404 212549 16  4  0 78  2	
 9 120      0 97067952  14024  75148    0    0 163424     0 191305 206386 14  4  0 80  2	
 8 121      0 97067824  14024  75148    0    0 163312     0 191451 207001 16  4  0 79  2	
 1 127      0 97067760  14032  75148    0    0 163424    12 192355 206409 16  4  0 78  2	
13 120      0 97067728  14032  75148    0    0 163232     0 191178 205486 15  4  0 79  2	
12 117      0 97067504  14032  75148    0    0 163312     0 184625 201393 19  4  0 75  2	
 8 123      0 97067568  14032  75148    0    0 163440     0 189106 204322 15  5  0 78  2	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4 124      0 97067888  14032  75148    0    0 163344     0 191914 206571 14  4  0 80  2	
18 114      0 97067728  14040  75140    0    0 163216    12 192517 209204 15  5  0 79  2	
10 120      0 97067600  14040  75148    0    0 163424     0 192869 208760 16  4  0 78  2	
14 116      0 97067664  14040  75148    0    0 163312     0 190380 203851 15  4  0 79  2	
10 121      0 97067664  14040  75148    0    0 163392     0 193277 209284 16  4  0 79  2	
 4 124      0 97067568  14040  75148    0    0 163360     0 191611 206689 16  5  0 77  2	
 6 124      0 97067632  14040  75148    0    0 163328     0 191578 209606 16  4  0 79  2	
 7 123      0 97067952  14048  75148    0    0 163296    16 188157 202411 15  4  0 79  2	
14 116      0 97067856  14048  75148    0    0 163280     0 193789 209964 16  4  0 78  2	
 7 123      0 97067728  14048  75148    0    0 163408     0 186727 202768 14  5  0 79  2	
 9 122      0 97067696  14048  75148    0    0 163312     0 192154 206537 15  4  0 79  2	
 5 123      0 97067792  14048  75148    0    0 163344     0 190803 204314 14  4  0 80  2	
 6 123      0 97067632  14056  75144    0    0 163376    12 191418 206236 15  4  0 79  2	
 6 122      0 97067728  14056  75148    0    0 163312    12 190902 206740 15  4  0 79  2	
 7 123      0 97067600  14056  75148    0    0 163328     0 191608 207686 16  4  0 78  2	
 3 125      0 97067600  14056  75148    0    0 163392     0 189956 204485 15  4  0 79  2	
13 116      0 97067824  14056  75148    0    0 163296     0 188887 204233 15  4  0 79  2	
 6 122      0 97067760  14056  75148    0    0 163392     0 191104 205809 15  4  0 79  2	
 4 125      0 97067760  14064  75152    0    0 163376    32 191342 208486 17  5  0 76  2	
 8 120      0 97067632  14064  75152    0    0 163216     0 192086 207958 17  4  0 77  2	
11 118      0 97067536  14064  75152    0    0 163408     0 191063 207530 17  4  0 77  2	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
10 119      0 97067792  14064  75156    0    0 163392     0 192879 207847 15  5  0 78  2	
 5 124      0 97067792  14064  75156    0    0 163392     0 192976 210517 16  4  0 77  2	
 9 121      0 97067728  14072  75148    0    0 163344    12 191809 206576 15  4  0 79  2	
12 117      0 97067536  14072  75156    0    0 163280     0 193437 208288 14  4  0 79  2	
17 113      0 97067440  14072  75156    0    0 163312     0 192660 209110 16  4  0 79  2	
 6 125      0 97067472  14072  75156    0    0 163504     0 188544 204757 17  4  0 77  2	
 8 123      0 97067504  14072  75156    0    0 163312     0 192150 207076 15  4  0 79  2	
 9 120      0 97067568  14072  75156    0    0 163296     0 191103 208532 17  4  0 77  2	
10 120      0 97067408  14080  75156    0    0 163376    12 191748 206485 14  4  0 80  2	
 5 124      0 97067312  14080  75156    0    0 163408     0 192005 206307 16  4  0 78  2	
 4 124      0 97067536  14080  75156    0    0 163312     0 189890 204909 16  4  0 78  2	
 5 123      0 97067536  14080  75156    0    0 163328     0 194352 211952 17  4  0 77  2	
14 117      0 97067408  14080  75156    0    0 163232     0 191624 208354 16  4  0 78  2	
 7 122      0 97067568  14088  75148    0    0 163440    12 193517 207790 15  3  0 80  2	
13 118      0 97067760  14088  75156    0    0 163264     0 191834 207435 15  4  0 79  2	
10 120      0 97067536  14088  75156    0    0 163312     0 191891 206007 16  4  0 78  2	
 9 120      0 97067632  14088  75156    0    0 163376     0 193777 209971 15  4  0 79  2	
 6 123      0 97067472  14088  75156    0    0 163408     0 192675 208833 16  4  0 78  2	
10 120      0 97067568  14088  75156    0    0 163312     4 192973 208068 15  4  0 79  2	
 3 125      0 97067440  14096  75156    0    0 163456    12 191614 204793 14  4  0 80  2	
 8 122      0 97067440  14096  75156    0    0 163264     0 190660 204962 16  4  0 78  2	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
