procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1      0 97524640   6232  68420    0    0  3546     2   15  143 39 13 40  8  1	
 0  2      0 97522848   6232  68424    0    0 41392     0 24468 22028  0  0 90 10  0	
 0  2      0 97522472   6232  68424    0    0 41568     0 24916 22590  0  0 90 10  0	
 0  2      0 97522472   6232  68424    0    0 41296     0 21081 21898  1  0 90  9  0	
 0  2      0 97522472   6232  68424    0    0 38224     0 20299 21174  0  0 90 10  0	
 0  2      0 97522592   6232  68424    0    0 39712     0 21761 21821  0  0 90  9  0	
 0  2      0 97522592   6240  68416    0    0 38704    40 20842 20922  0  0 90  9  0	
 0  2      0 97522592   6240  68416    0    0 38320     4 21270 21387  0  0 91  9  0	
 1  1      0 97522592   6240  68424    0    0 39360     0 21152 21323  0  0 90  9  0	
 1  1      0 97522592   6240  68424    0    0 39216     0 21139 21206  1  0 90  9  0	
 1  1      0 97522592   6240  68424    0    0 41376     0 22292 22113  0  0 91  9  0	
 0  2      0 97522592   6248  68424    0    0 39152    12 20761 20958  0  0 91  9  0	
 1  1      0 97522592   6248  68424    0    0 38096    40 21848 21877  0  0 90  9  0	
 1  1      0 97522592   6248  68424    0    0 38272     0 21822 22053  1  0 90  9  0	
 0  2      0 97522592   6248  68424    0    0 39088     0 21288 21466  0  0 90  9  0	
 0  2      0 97522592   6248  68424    0    0 38496     0 21474 21543  0  0 90  9  0	
 0  2      0 97522592   6248  68424    0    0 37712     0 20968 20976  0  0 91  9  0	
 0  2      0 97522592   6256  68424    0    0 38448    12 20518 20446  0  0 90  9  0	
 1  1      0 97522592   6256  68424    0    0 38576     0 20530 20966  0  0 90  9  0	
 1  1      0 97522592   6256  68424    0    0 40400     0 20600 21162  0  0 90  9  0	
 0  2      0 97522592   6256  68424    0    0 42032     0 21893 22141  1  0 90  9  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1      0 97522592   6256  68424    0    0 39152     0 20503 20666  0  0 91  9  0	
 1  1      0 97522592   6264  68416    0    0 40432    12 21730 21382  0  0 90  9  0	
 1  1      0 97522592   6264  68416    0    0 39248     0 22088 22202  0  0 90  9  0	
 0  2      0 97522592   6264  68424    0    0 38848     0 21514 21752  0  0 90  9  0	
 1  1      0 97522592   6264  68424    0    0 39024     0 21633 21455  0  0 90  9  0	
 0  2      0 97522592   6264  68424    0    0 39936     0 21103 21021  0  0 90  9  0	
 1  1      0 97522592   6264  68424    0    0 36816     0 20567 20489  0  0 90  9  0	
 1  1      0 97522592   6272  68424    0    0 38288    16 20365 20494  0  0 90  9  0	
 0  2      0 97522592   6272  68424    0    0 37712     0 21178 21064  0  0 90  9  0	
 0  2      0 97522592   6272  68424    0    0 38816     0 21542 21784  0  0 90  9  0	
 0  2      0 97522592   6272  68424    0    0 40304     0 21518 21704  1  0 91  9  0	
 0  2      0 97522592   6272  68424    0    0 41136     0 21919 21724  0  0 90  9  0	
 1  2      0 97522592   6284  68412    0    0 42036    28 22756 22760  0  0 90  9  0	
 3  1      0 97522592   6284  68412    0    0 41792     0 22698 22626  0  0 90  9  0	
 3  1      0 97522592   6284  68412    0    0 38256     0 21495 21399  0  0 90  9  0	
 1  1      0 97522592   6284  68412    0    0 40144     0 22139 21957  0  0 90  9  0	
 0  2      0 97522592   6284  68412    0    0 39712     0 21075 21465  0  0 90  9  0	
 0  3      0 97522592   6292  68404    0    0 39280    24 20928 21218  0  0 91  9  0	
 0  2      0 97522592   6292  68404    0    0 38224     0 20970 21184  0  0 90  9  0	
 1  1      0 97522592   6292  68436    0    0 39376     0 21189 21437  0  0 90  9  0	
 2  1      0 97522592   6292  68436    0    0 38752     0 21763 21656  0  0 90  9  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  2      0 97522592   6292  68436    0    0 35792     0 20744 20528  0  0 90  9  0	
 0  2      0 97522592   6300  68428    0    0 35776    12 20929 20991  0  0 90  9  0	
 0  2      0 97522592   6300  68428    0    0 35776     0 20009 20213  0  0 90  9  0	
 1  1      0 97522592   6300  68440    0    0 36768     0 21116 21362  0  0 90  9  0	
 1  1      0 97522592   6300  68440    0    0 36176     0 20454 20821  0  0 90  9  0	
 1  1      0 97522592   6300  68440    0    0 38240     0 21043 21230  0  0 90 10  0	
 0  2      0 97522592   6300  68440    0    0 36144    12 20360 20472  0  0 90  9  0	
 2  1      0 97522592   6308  68432    0    0 39360    12 21896 21864  0  0 90  9  0	
 0  2      0 97522592   6308  68432    0    0 37600     0 21003 20825  0  0 91  9  0	
 1  1      0 97522592   6308  68432    0    0 36208     0 20028 20197  0  0 90  9  0	
 0  2      0 97522592   6308  68432    0    0 37632     0 20815 20865  1  0 90  9  0	
 0  2      0 97522592   6308  68432    0    0 39360     0 22513 22414  0  0 90  9  0	
 0  2      0 97522592   6316  68424    0    0 39152    12 21964 21954  0  0 90  9  0	
 2  1      0 97522592   6316  68424    0    0 38224     0 21342 21129  0  0 90  9  0	
 0  2      0 97522592   6316  68440    0    0 39168     0 21816 21717  0  0 91  9  0	
 1  1      0 97522592   6316  68440    0    0 39840     0 21087 21215  0  0 90  9  0	
 1  1      0 97522592   6316  68440    0    0 39536     0 22041 21785  0  0 91  9  0	
 1  1      0 97522592   6316  68440    0    0 40480     0 22337 22538  0  0 90  9  0	
 1  1      0 97522592   6324  68432    0    0 39936    12 21770 21906  0  0 91  9  0	
 0  2      0 97522592   6324  68432    0    0 40160     0 22762 22690  1  0 90  9  0	
 0  2      0 97522592   6324  68440    0    0 37504     0 20349 20533  0  0 90  9  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1      0 97522592   6324  68440    0    0 38224     0 21465 21453  0  0 90  9  0	
 1  1      0 97522592   6324  68440    0    0 40224    16 20689 21325  0  0 90  9  0	
 0  2      0 97522592   6332  68436    0    0 37520    20 20626 20701  0  0 90  9  0	
 1  1      0 97522592   6332  68436    0    0 37984     0 21427 21398  0  0 90  9  0	
 1  1      0 97522592   6332  68436    0    0 39376     0 21197 21604  0  0 90  9  0	
 0  2      0 97522592   6332  68436    0    0 41488     0 20885 21415  0  0 90  9  0	
 1  1      0 97522592   6332  68436    0    0 39184     0 20908 20893  0  0 90  9  0	
 0  2      0 97522592   6332  68436    0    0 38016     0 20499 20457  0  0 91  9  0	
 1  1      0 97522592   6340  68428    0    0 39296    16 21365 21253  0  0 90  9  0	
 1  1      0 97522592   6340  68444    0    0 41056     0 22836 22926  0  0 90  9  0	
 0  2      0 97522592   6340  68444    0    0 38960     0 21647 21804  1  0 90  9  0	
 0  2      0 97522592   6340  68444    0    0 41056     0 22087 21814  0  0 90  9  0	
 1  1      0 97522592   6340  68444    0    0 39184     0 20838 20772  0  0 90  9  0	
 0  2      0 97522592   6348  68436    0    0 37328    12 19540 19801  0  0 90  9  0	
 0  2      0 97522592   6348  68436    0    0 39504     0 20851 20987  1  0 90  9  0	
 1  1      0 97522592   6348  68436    0    0 38496     0 20811 21124  0  0 90  9  0	
 1  1      0 97522592   6348  68436    0    0 41008    12 22365 22361  0  0 90  9  0	
 0  2      0 97522592   6348  68444    0    0 38960     0 21066 21084  0  0 90  9  0	
