procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 97512776   7872  69448    0    0  2025  1875  103    9 26  6 61  7  0	
 1  1      0 97508312   7872  69480    0    0 27424     0 36912 36166  1  0 92  7  0	
 0  2      0 97507696   7872  69480    0    0 28288     0 36863 37408  1  0 92  7  0	
 1  1      0 97507696   7872  69480    0    0 28240     0 35642 36129  1  0 92  7  0	
 0  2      0 97507696   7872  69480    0    0 28400     0 36357 36792  1  0 92  7  0	
 1  1      0 97507696   7872  69480    0    0 28096     0 35841 36255  1  0 92  7  0	
 1  1      0 97507696   7880  69472    0    0 28768    36 37147 37514  1  0 92  7  0	
 1  1      0 97507696   7880  69472    0    0 27488     0 37559 37972  1  0 92  7  0	
 1  1      0 97507696   7880  69472    0    0 27168     0 35856 36258  1  0 92  7  0	
 3  0      0 97507696   7880  69480    0    0 28480     0 37717 37997  1  0 92  7  0	
 4  0      0 97507696   7880  69480    0    0 28768     0 38540 38930  1  0 92  7  0	
 1  1      0 97507696   7888  69476    0    0 28960    12 37565 37969  1  0 92  7  0	
 2  0      0 97507696   7888  69476    0    0 28400     0 37267 37721  0  0 92  7  0	
 1  1      0 97507696   7888  69476    0    0 28928     0 36396 36760  1  0 92  7  0	
 1  1      0 97507696   7888  69480    0    0 28432    48 36282 36661  1  0 92  7  0	
 0  2      0 97507696   7888  69480    0    0 29568     0 37389 37948  1  0 92  7  0	
 1  1      0 97507696   7888  69480    0    0 28288     0 36653 37049  1  0 92  7  0	
 1  1      0 97507696   7896  69480    0    0 28784    12 36107 36500  1  0 92  7  0	
 2  0      0 97507696   7896  69480    0    0 27776     0 37405 37749  1  0 92  7  0	
 1  1      0 97507696   7896  69480    0    0 27616     0 34115 34419  1  0 92  7  0	
 1  1      0 97507696   7896  69480    0    0 28784     0 36644 37108  0  0 92  7  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  2      0 97507696   7896  69480    0    0 27600     0 35854 36181  1  0 92  7  0	
 1  1      0 97507696   7904  69480    0    0 28672    12 36607 36902  1  0 92  7  0	
 1  1      0 97507696   7904  69480    0    0 28448     0 36486 36886  1  0 92  7  0	
 1  1      0 97507696   7904  69480    0    0 29008     8 34882 35204  1  0 92  7  0	
 3  0      0 97507696   7904  69480    0    0 28560     0 36263 36683  1  0 92  7  0	
 4  0      0 97507696   7904  69480    0    0 27168     0 34037 34388  1  0 91  8  0	
 2  1      0 97507696   7904  69480    0    0 27792     0 35529 35909  0  0 92  7  0	
 2  1      0 97507696   7912  69480    0    0 27200    12 34569 34948  1  0 92  7  0	
 2  0      0 97507696   7912  69480    0    0 27808     0 34978 35359  0  0 92  7  0	
 1  1      0 97507696   7912  69480    0    0 26640     0 35413 35795  1  0 92  7  0	
 0  2      0 97507696   7912  69480    0    0 28512     0 36890 37223  1  0 92  7  0	
 2  1      0 97507696   7912  69480    0    0 28880     0 37206 37568  0  0 92  7  0	
 1  1      0 97507696   7920  69480    0    0 29008    12 36623 37021  1  0 92  7  0	
 1  1      0 97507696   7920  69484    0    0 28944    20 35981 36311  1  0 92  7  0	
 2  0      0 97507696   7920  69484    0    0 29488     0 36956 37431  1  0 92  7  0	
 0  2      0 97507696   7920  69484    0    0 28736     0 37231 37526  1  0 92  7  0	
 2  1      0 97507696   7920  69484    0    0 27664     0 36365 36682  1  0 92  7  0	
 0  2      0 97507696   7920  69484    0    0 27408     0 36533 36858  1  0 92  7  0	
 2  0      0 97507696   7928  69484    0    0 28576    24 36963 37372  1  0 92  7  0	
 0  2      0 97507696   7928  69484    0    0 27728     0 34932 35452  1  0 92  7  0	
 0  2      0 97507696   7928  69484    0    0 28384     0 35709 36088  1  0 92  7  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  2      0 97507696   7928  69484    0    0 28528     0 35490 35833  1  0 92  7  0	
 2  0      0 97507696   7928  69484    0    0 28224     0 36358 36850  1  0 92  7  0	
