procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 97525048   7840  69288    0    0  3389     2   90   13 36 12 44  8  0	
 4  0      0 97521576   7840  69288    0    0 28064     0 36955 37036  1  0 92  7  0	
 1  1      0 97520072   7840  69312    0    0 29104     0 38609 38886  1  0 92  6  0	
 0  2      0 97520072   7840  69312    0    0 29264     0 36448 36676  1  0 92  7  0	
 2  0      0 97520072   7840  69312    0    0 29424     0 37281 37540  1  0 92  7  0	
 2  0      0 97520072   7848  69304    0    0 28640    36 37660 37989  1  0 92  7  0	
 3  0      0 97520072   7848  69312    0    0 28608     0 34826 35141  0  0 92  7  0	
 1  1      0 97520072   7848  69312    0    0 28928     0 37131 37395  0  0 92  7  0	
 0  2      0 97520072   7848  69312    0    0 29008     0 36951 37223  1  0 92  7  0	
 0  2      0 97520072   7848  69312    0    0 29760    24 37409 37923  1  0 92  7  0	
 1  1      0 97520072   7856  69312    0    0 28208    12 34519 34942  1  0 92  7  0	
 2  0      0 97520072   7856  69312    0    0 26816     0 34582 35099  1  0 92  7  0	
 2  1      0 97520072   7856  69312    0    0 27728     0 35309 35551  1  0 92  7  0	
 2  0      0 97520072   7856  69312    0    0 28160     0 37467 37741  0  0 92  7  0	
 1  1      0 97520072   7856  69312    0    0 28400     0 36522 36817  1  0 92  7  0	
 1  1      0 97520072   7856  69312    0    0 28048     0 35330 35616  1  0 92  7  0	
 0  2      0 97520072   7864  69304    0    0 28704    12 36180 36468  1  0 92  7  0	
 1  1      0 97520072   7864  69304    0    0 28288     0 35947 36343  1  0 92  7  0	
 1  1      0 97520072   7864  69304    0    0 28032     0 37563 37915  1  0 92  7  0	
 1  1      0 97520072   7864  69304    0    0 28880     0 36620 37184  0  0 92  7  0	
 3  0      0 97520072   7864  69304    0    0 28992     0 38284 38593  1  0 92  7  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
