procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 69366256   9028  72764    0    0   765  2341   57  129 23  5 67  5  0	
 5  4      0 69353600   9028  72784    0    0 46896     0 187443 188197  9  4 70 15  2	
 5  3      0 69353104   9028  72784    0    0 48800     0 182126 185235  9  3 70 16  2	
 7  2      0 69352280   9028  72784    0    0 49472     0 185627 187991 12  4 67 15  2	
 8  1      0 69349888   9028  72784    0    0 50464     0 182234 184740  9  3 70 16  2	
10  1      0 69349888   9028  72784    0    0 49392     0 184639 187277  9  4 70 16  2	
 8  0      0 69349888   9036  72784    0    0 48496    52 185791 187926 10  3 69 15  2	
 6  2      0 69349824   9036  72784    0    0 50352     0 184540 187188  9  3 71 16  2	
 7  2      0 69349824   9036  72784    0    0 50816     0 184897 187211  9  4 70 16  2	
 9  0      0 69349824   9036  72784    0    0 48224     0 185780 188098  9  3 71 15  2	
 7  2      0 69349824   9036  72784    0    0 50288     0 185056 187174 10  3 70 16  2	
 7  2      0 69349824   9044  72784    0    0 49616    20 185259 187339  8  3 70 16  2	
 9  1      0 69349824   9044  72784    0    0 49904     0 185536 187589  9  3 70 16  2	
 7  2      0 69349824   9044  72784    0    0 49376     0 184082 186543 10  3 70 15  2	
10  0      0 69349824   9044  72784    0    0 50688     0 184254 186802 10  3 70 16  2	
 7  3      0 69349824   9044  72784    0    0 49904     0 183308 186220  9  3 70 16  2	
 6  2      0 69349824   9052  72780    0    0 49392    20 184999 186921  9  3 70 16  2	
11  2      0 69349824   9052  72788    0    0 50816     0 183776 186185 10  3 70 16  2	
 8  0      0 69349824   9052  72788    0    0 49200     0 186122 188465  9  3 71 16  2	
10  1      0 69349824   9052  72788    0    0 51440     0 184177 186359  9  3 71 17  2	
 5  3      0 69349824   9052  72788    0    0 50800     0 184820 187841  9  3 70 16  2	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  1      0 69349824   9052  72788    0    0 49680    16 183804 187659 10  3 69 16  2	
 5  3      0 69349824   9060  72788    0    0 49920     4 186176 188312  9  3 70 16  2	
 7  2      0 69349824   9060  72788    0    0 51040     0 183465 185351 10  3 70 16  2	
 7  2      0 69349824   9060  72788    0    0 49488     0 185371 187550 10  2 71 16  2	
10  0      0 69349824   9060  72788    0    0 49072     0 183198 185719  9  3 71 16  2	
 9  1      0 69349824   9060  72788    0    0 51008     0 184843 187388  8  3 70 16  2	
 8  0      0 69349824   9068  72788    0    0 48544    20 184956 187381  9  4 70 16  2	
 7  2      0 69349824   9068  72788    0    0 50768     0 181351 184325  9  3 70 16  2	
 7  2      0 69349824   9068  72788    0    0 49680     0 184128 187021  8  3 71 16  2	
 4  5      0 69349824   9068  72788    0    0 50064     0 183748 186557  9  3 70 16  2	
 7  2      0 69349824   9068  72788    0    0 49920    16 182539 185432  9  3 70 16  2	
 8  0      0 69349824   9076  72788    0    0 51632    32 182083 184913  9  3 70 17  2	
