procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 46989300  12464  69844    0    0  1242     4   90  672 17  6 72  4  1	
22  0      0 46961508  12464  69864    0    0    48     0 130784 280650 59 17 23  0  1	
21  0      0 46960640  12464  69864    0    0    64     0 102596 280158 66 18 15  0  1	
20  0      0 46960640  12464  69864    0    0    96     0 5350 240758 77 23  0  0  0	
20  0      0 46960392  12472  69864    0    0   112    36 4628 240785 76 24  0  0  0	
19  0      0 46960268  12472  69864    0    0    64     0 4466 236355 76 24  0  0  0	
18  0      0 46960268  12472  69864    0    0    64     0 4457 240706 74 26  0  0  0	
17  0      0 46960144  12472  69864    0    0    96     0 4952 241288 75 25  0  0  0	
18  0      0 46959896  12472  69864    0    0    80     0 4300 240438 76 24  0  0  0	
20  0      0 46959896  12480  69864    0    0    64    12 4687 240538 75 25  0  0  0	
20  0      0 46959896  12480  69864    0    0    32     0 4299 240432 75 25  0  0  0	
18  0      0 46959896  12480  69864    0    0    80     0 4678 240622 75 25  0  0  0	
19  0      0 46959648  12480  69864    0    0    96     0 4510 240700 75 25  0  0  0	
19  0      0 46959648  12480  69864    0    0    32     0 4689 239347 74 26  0  0  0	
18  0      0 46959524  12480  69864    0    0    96     0 4466 239791 75 25  0  0  0	
20  0      0 46959524  12488  69864    0    0    96    12 4724 239255 75 25  0  0  0	
20  0      0 46959400  12488  69864    0    0    80     0 4374 240750 74 26  0  0  0	
18  0      0 46959276  12488  69864    0    0    32     0 4273 240264 75 25  0  0  0	
19  0      0 46959152  12488  69864    0    0    64     0 5257 239973 75 25  0  0  0	
21  0      0 46959152  12488  69864    0    0    64     0 4330 239817 75 25  0  0  0	
18  0      0 46959152  12496  69864    0    0    64    12 4548 240779 75 25  0  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
16  0      0 46959152  12496  69864    0    0    64     0 4795 240467 75 25  0  0  0	
19  0      0 46959152  12496  69864    0    0    80     0 5248 240745 75 25  0  0  0	
20  0      0 46959152  12496  69864    0    0    80     0 4517 238462 74 26  0  0  0	
22  0      0 46959152  12496  69864    0    0    48     0 4326 240085 74 26  0  0  0	
18  0      0 46959028  12496  69864    0    0    96     0 4626 237821 75 25  0  0  0	
23  0      0 46959028  12504  69864    0    0     0    16 4113 238199 76 24  0  0  0	
18  0      0 46959028  12504  69864    0    0   176     0 5152 240470 75 25  0  0  0	
17  0      0 46958656  12504  69864    0    0    80    36 4609 240988 76 24  0  0  0	
18  0      0 46958532  12504  69864    0    0    80     0 4580 240100 74 26  0  0  0	
20  0      0 46958408  12504  69864    0    0    96     0 4616 240699 75 25  0  0  0	
19  0      0 46958284  12512  69864    0    0   128    12 5163 240721 77 23  0  0  0	
21  0      0 46958284  12512  69868    0    0    96     0 4533 240468 75 25  0  0  0	
23  0      0 46958284  12512  69868    0    0    64    20 4382 240188 75 24  0  0  0	
21  0      0 46958160  12512  69868    0    0    48     0 4346 240265 75 25  0  0  0	
19  0      0 46958036  12512  69868    0    0   208     0 5438 239684 75 25  0  0  0	
17  0      0 46958036  12512  69868    0    0    80     0 4515 240259 73 27  0  0  0	
20  0      0 46957788  12520  69868    0    0     0    24 4127 240062 76 24  0  0  0	
21  0      0 46957788  12520  69868    0    0    48     0 4314 240571 75 25  0  0  0	
21  0      0 46957788  12520  69868    0    0    64     0 4351 240143 76 24  0  0  0	
17  0      0 46957788  12520  69868    0    0    96     0 4603 239999 75 25  0  0  0	
18  0      0 46957664  12520  69868    0    0    96     0 4786 240679 75 25  0  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
17  0      0 46957664  12528  69868    0    0    80    12 4864 240535 74 26  0  0  0	
19  0      0 46957168  12528  69872    0    0   176     0 5495 240719 75 25  0  0  0	
19  0      0 46957044  12528  69872    0    0    80     0 4453 240890 76 24  0  0  0	
21  0      0 46956796  12528  69872    0    0    64     0 4566 239008 75 25  0  0  0	
19  0      0 46956796  12528  69872    0    0    32     0 4367 240388 75 25  0  0  0	
19  0      0 46956796  12528  69872    0    0    96     0 4777 236356 75 25  0  0  0	
18  0      0 46956548  12536  69872    0    0    96    12 4577 240293 77 23  0  0  0	
17  0      0 46956424  12536  69872    0    0    16     0 4172 240157 75 25  0  0  0	
19  0      0 46956424  12536  69872    0    0    96     0 4796 240658 75 25  0  0  0	
18  0      0 46956424  12536  69872    0    0    48     0 4384 240738 75 25  0  0  0	
19  0      0 46956424  12536  69872    0    0    48     0 4493 239983 76 24  0  0  0	
19  0      0 46956424  12544  69872    0    0     0    12 4097 239687 76 24  0  0  0	
17  0      0 46956424  12544  69872    0    0    48     4 4388 240155 76 24  0  0  0	
19  0      0 46956300  12544  69872    0    0   112     0 4865 238849 74 26  0  0  0	
18  0      0 46956176  12544  69872    0    0    32     0 4291 240343 75 25  0  0  0	
17  0      0 46956176  12544  69872    0    0    48     0 4346 239592 74 26  0  0  0	
19  0      0 46956052  12544  69872    0    0   144     0 4848 240838 74 26  0  0  0	
18  0      0 46955928  12552  69872    0    0    96    12 5057 240541 74 25  0  0  0	
17  0      0 46955928  12552  69872    0    0    16     0 4162 240567 75 25  0  0  0	
18  0      0 46955928  12552  69872    0    0    32     0 4235 240075 76 24  0  0  0	
18  0      0 46955804  12552  69872    0    0    64     0 4606 240294 74 26  0  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
20  0      0 46955804  12552  69872    0    0    48     0 4366 239447 75 26  0  0  0	
20  0      0 46955680  12560  69872    0    0    96    40 5203 240432 74 26  0  0  0	
20  0      0 46955680  12560  69872    0    0    48     0 4349 236070 75 25  0  0  0	
20  0      0 46955556  12560  69876    0    0    48     0 4480 239465 76 24  0  0  0	
19  0      0 46955556  12560  69876    0    0    96     0 4685 240150 76 24  0  0  0	
18  0      0 46955308  12560  69876    0    0    32     0 4324 240367 75 25  0  0  0	
19  0      0 46955308  12560  69876    0    0    48     0 4442 239978 75 25  0  0  0	
20  0      0 46955184  12568  69876    0    0   112    20 4967 240073 75 25  0  0  0	
19  0      0 46955060  12568  69876    0    0    16     0 4233 240236 75 25  0  0  0	
20  0      0 46955060  12568  69876    0    0    64     0 4335 239972 74 26  0  0  0	
16  0      0 46955060  12568  69876    0    0    80     0 4675 240400 75 25  0  0  0	
