procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 97482512  11972  70200    0    0  2487  1714   60    8 24  6 61  8  0	
53 19      0 97372392  11972  70224    0    0 223360     0 132745 255776 54 16 28  1  1	
 8 57      0 97263024  11972  70224    0    0 205136     0 161391 213462 31  9  1 58  1	
 7 57      0 97262400  11972  70224    0    0 163328     0 186336 202794 15  5  0 77  2	
 4 60      0 97262400  11980  70224    0    0 163392    52 182529 198480 16  4  0 78  2	
 9 57      0 97262400  11980  70224    0    0 163280     0 185479 200060 15  5  1 78  2	
 8 57      0 97262272  11980  70224    0    0 163280     0 187211 202589 16  5  0 78  2	
10 55      0 97262272  11980  70224    0    0 163360     0 186191 200539 14  5  0 79  2	
13 53      0 97262272  11980  70224    0    0 163312     0 188556 204211 16  5  0 77  2	
 7 57      0 97262272  11988  70216    0    0 163392    12 189137 203877 15  5  1 77  2	
 6 60      0 97262272  11988  70224    0    0 163344     0 187400 202876 15  5  0 78  2	
 5 59      0 97262272  11988  70224    0    0 163344     0 188176 202821 14  5  1 79  2	
 7 57      0 97262272  11988  70224    0    0 163248     0 186889 201066 14  4  0 80  2	
 1 63      0 97262272  11988  70224    0    0 163408     0 187318 200951 13  5  0 80  2	
 9 57      0 97262272  11988  70224    0    0 163312     0 186044 200861 14  4  1 79  2	
 7 58      0 97262272  11996  70224    0    0 163360    12 187781 202269 14  5  1 79  2	
 7 59      0 97262272  11996  70224    0    0 163312     0 187419 204056 16  5  1 76  2	
 6 59      0 97262272  11996  70224    0    0 163360     0 188565 203338 14  4  1 80  2	
 6 59      0 97262272  11996  70224    0    0 163312     0 188886 203620 14  4  1 79  2	
 7 59      0 97262272  11996  70224    0    0 163296    12 189824 202800 13  4  1 80  2	
 8 57      0 97262272  12004  70224    0    0 163344    12 188627 203959 14  4  1 79  2	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7 57      0 97262272  12004  70224    0    0 163328     0 189408 205898 15  4  1 78  2	
12 55      0 97262272  12004  70224    0    0 163280     0 187967 202232 12  5  1 80  2	
 8 56      0 97262272  12004  70224    0    0 163344     0 189041 204871 15  4  1 78  2	
11 55      0 97262272  12004  70224    0    0 163312    48 189386 205127 16  5  0 77  2	
 8 56      0 97262272  12004  70224    0    0 163328     0 184004 201264 18  5  1 74  2	
 3 60      0 97257808  12012  70224    0    0 163440    12 188576 203228 17  6  1 75  2	
 5 59      0 97257808  12012  70224    0    0 163296     0 187016 201081 13  5  1 79  2	
 6 58      0 97257808  12012  70224    0    0 163296     0 188484 202467 15  4  1 78  2	
12 54      0 97257808  12012  70224    0    0 163280     0 188791 202759 14  5  0 79  2	
 9 57      0 97257808  12012  70224    0    0 163376     0 188780 203202 15  4  0 79  2	
 3 61      0 97257808  12020  70224    0    0 163376    20 188331 203167 15  4  1 79  2	
 3 62      0 97257808  12020  70224    0    0 163312     0 188757 202938 14  4  1 79  2	
 5 59      0 97257808  12020  70228    0    0 163360     0 188167 201036 12  5  0 81  2	
12 51      0 97257808  12020  70228    0    0 163232     0 186259 201223 15  5  0 79  2	
 7 57      0 97257160  12020  70232    0    0 163392    20 188225 203462 16  6  1 75  2	
 8 57      0 97257160  12020  70232    0    0 163344     0 185752 202484 15  4  1 79  2	
10 56      0 97257160  12028  70232    0    0 163344    36 186148 199764 15  5  1 78  2	
 6 58      0 97257160  12028  70232    0    0 163392     0 188350 204841 16  5  1 77  2	
 7 58      0 97257160  12028  70232    0    0 163312     0 189294 204544 15  4  0 79  2	
 8 56      0 97257160  12028  70232    0    0 163328     0 186827 203113 17  4  0 77  2	
10 55      0 97257160  12028  70232    0    0 163312     0 188350 204329 15  5  0 78  2	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4 60      0 97257160  12036  70232    0    0 163408    12 188944 203673 15  5  1 78  2	
