procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 97521336   9196  69652    0    0  3291     2   43  160 34 11 47  8  0	
 1  7      0 97510184   9196  69672    0    0 99664     8 145476 141696  6  2 64 27  1	
 5  3      0 97509688   9196  69672    0    0 104624     0 143068 141183  4  2 64 29  1	
 4  5      0 97509688   9196  69672    0    0 107376     0 144773 143294  4  2 64 28  1	
 2  6      0 97509688   9204  69664    0    0 104384    40 141590 140699  6  2 63 28  1	
 5  4      0 97509688   9204  69672    0    0 102512     0 139507 138446  5  2 63 29  1	
 3  5      0 97509688   9204  69672    0    0 101984     0 137166 135708  5  2 63 29  1	
 6  3      0 97509688   9204  69672    0    0 106480     0 139887 138803  5  2 63 29  1	
 2  6      0 97509688   9204  69672    0    0 105600     0 140591 139569  5  2 63 29  1	
 5  3      0 97509688   9212  69672    0    0 105248    12 141758 140256  5  2 63 29  1	
 5  3      0 97509688   9212  69672    0    0 103392     0 138997 137764  5  2 63 29  1	
 5  3      0 97509688   9212  69672    0    0 102448     0 138103 135964  5  2 62 30  1	
10  2      0 97509688   9212  69672    0    0 103424     0 139013 137473  5  2 63 30  1	
 6  3      0 97509688   9212  69672    0    0 104928     0 142198 140266  4  3 63 29  1	
 5  4      0 97509688   9212  69672    0    0 102752     0 137313 136207  5  2 63 29  1	
 4  4      0 97509688   9220  69672    0    0 101040    12 135048 134041  5  2 63 30  1	
 8  1      0 97509688   9220  69672    0    0 102176     0 136921 135616  5  2 62 30  1	
 3  4      0 97509688   9220  69672    0    0 101088     0 138724 137420  4  2 63 30  1	
 4  5      0 97509688   9220  69672    0    0 105120     0 139600 138219  5  2 63 29  1	
 2  7      0 97509688   9220  69672    0    0 101152     0 135286 133699  5  2 63 30  1	
 6  4      0 97509688   9228  69672    0    0 103056    12 139876 139020  5  2 63 29  1	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  6      0 97509688   9228  69672    0    0 102944     0 136753 135807  5  2 63 30  1	
 2  6      0 97509688   9228  69672    0    0 90400     0 119854 118218  5  1 61 32  1	
 5  3      0 97509688   9228  69672    0    0 99776     0 133406 131999  5  1 62 31  1	
 6  3      0 97509688   9228  69672    0    0 102672     0 137657 136093  4  2 63 30  1	
 6  4      0 97509688   9228  69672    0    0 105008     0 140707 138808  4  2 63 29  1	
 4  4      0 97509688   9236  69672    0    0 100784    12 136179 134177  5  2 62 30  1	
 7  1      0 97509688   9236  69672    0    0 101360     0 138840 137347  5  1 63 29  1	
 7  3      0 97509688   9236  69672    0    0 101952     0 137332 135310  5  2 62 30  1	
 3  5      0 97509688   9236  69672    0    0 103072     0 139035 137987  5  2 63 29  1	
 4  4      0 97509688   9236  69672    0    0 102224     0 136431 135392  5  2 62 30  1	
 3  5      0 97509688   9244  69672    0    0 103488    36 137950 136434  5  2 63 29  1	
 2  6      0 97509688   9244  69672    0    0 101504     0 139463 138009  5  2 62 29  1	
 5  4      0 97509688   9244  69672    0    0 103840     0 138892 137770  5  2 63 29  1	
 6  3      0 97509688   9244  69676    0    0 103632     0 139382 137737  5  2 63 29  1	
 6  3      0 97509688   9244  69676    0    0 100496     0 136849 135676  5  2 62 30  1	
 3  6      0 97509688   9244  69676    0    0 102336     0 135759 133646  5  2 62 30  1	
 6  3      0 97509688   9252  69676    0    0 101424    68 138464 136080  5  2 62 29  1	
 4  6      0 97509688   9252  69676    0    0 101968     0 136603 134865  5  2 63 29  1	
 8  2      0 97509688   9252  69676    0    0 101760     0 139248 137383  5  2 63 30  1	
 8  2      0 97509688   9252  69676    0    0 100848     0 137363 135605  4  2 62 30  1	
 6  2      0 97509688   9252  69676    0    0 103408     0 139147 138094  5  2 63 29  1	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  6      0 97509688   9260  69676    0    0 101440    12 138876 137324  5  2 62 29  1	
 9  1      0 97509688   9260  69680    0    0 102928     0 137755 136757  5  2 63 30  1	
 5  4      0 97509688   9260  69680    0    0 103616     0 139617 138398  5  2 63 29  1	
 7  2      0 97509688   9260  69688    0    0 103920     0 138201 136931  5  2 63 30  1	
 6  3      0 97509688   9260  69688    0    0 102672     0 139268 138062  6  2 63 28  1	
 5  4      0 97509688   9260  69688    0    0 100880     0 140301 138070  4  2 63 30  1	
 6  2      0 97509688   9268  69688    0    0 104592    20 139812 137930  5  2 63 29  1	
 4  4      0 97509688   9268  69688    0    0 103088     0 139885 138215  5  2 62 29  1	
 4  4      0 97509688   9268  69688    0    0 103296     0 138862 136942  5  2 63 29  1	
 8  2      0 97509688   9268  69688    0    0 103264     0 138957 137895  5  2 63 29  1	
 7  4      0 97509688   9268  69688    0    0 102032     0 139378 137594  5  2 62 30  1	
 6  2      0 97509688   9276  69688    0    0 100560    12 136688 136341  6  2 62 29  1	
 4  4      0 97509688   9276  69688    0    0 99040     0 133562 132105  4  2 62 30  1	
 7  2      0 97509688   9276  69688    0    0 99712     0 135075 133810  4  2 63 30  1	
 3  5      0 97509688   9276  69688    0    0 101888     0 133432 132167  5  2 63 30  1	
 5  6      0 97509688   9276  69688    0    0 98880     0 135730 133891  4  2 63 30  1	
 4  4      0 97509688   9276  69688    0    0 100368     0 135725 134835  4  2 63 30  1	
 2  7      0 97509688   9284  69680    0    0 101664    12 139344 137899  5  2 63 29  1	
 5  4      0 97509688   9284  69688    0    0 102240     0 138547 136981  4  2 63 30  1	
 5  3      0 97509688   9284  69688    0    0 102864     0 137529 136264  4  2 63 30  1	
 6  3      0 97509688   9284  69688    0    0 105152    24 140231 138421  5  2 63 30  1	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  2      0 97509688   9284  69688    0    0 102288     0 137557 136564  5  2 63 30  1	
 3  5      0 97509568   9292  69688    0    0 101104    32 140124 139101  6  2 63 29  1	
 3  5      0 97509568   9292  69688    0    0 102752     0 135076 134464  5  1 63 30  1	
 7  3      0 97509568   9292  69688    0    0 99440     0 136129 134282  6  2 62 29  1	
 5  3      0 97509568   9292  69688    0    0 104752     0 134949 133929  5  2 63 30  1	
 4  4      0 97509568   9292  69692    0    0 104144     0 140190 138563  5  2 63 29  1	
 6  3      0 97509568   9292  69692    0    0 104640     0 142568 140865  5  2 64 29  1	
 4  5      0 97509568   9300  69692    0    0 101120    12 141703 140708  6  2 63 28  1	
 3  5      0 97509568   9300  69692    0    0 104480     0 141207 139850  5  2 63 29  1	
 4  4      0 97509568   9300  69692    0    0 104016    24 139189 138047  5  2 63 30  1	
 1  7      0 97509568   9300  69692    0    0 105424     0 142070 141258  5  2 64 29  1	
 4  4      0 97509568   9300  69692    0    0 105280     0 142842 140777  5  2 64 28  1	
 4  4      0 97509568   9308  69684    0    0 105616    12 142905 140829  5  2 63 29  1	
 2  6      0 97509568   9308  69692    0    0 100720     0 138717 136417  5  2 62 29  1	
 3  5      0 97509568   9308  69692    0    0 101552     8 136758 134921  6  2 62 28  1	
 4  4      0 97509568   9308  69692    0    0 102368     0 140481 138952  6  2 62 28  1	
 3  6      0 97509568   9308  69692    0    0 104688     0 140223 138535  5  2 63 29  1	
 6  4      0 97509568   9308  69692    0    0 103456     0 140329 139075  5  2 63 29  1	
 4  6      0 97509440   9316  69692    0    0 103680    28 136563 135144  5  2 62 30  1	
 6  4      0 97509440   9316  69692    0    0 105488     0 141193 139163  5  2 63 29  1	
 7  3      0 97509440   9316  69692    0    0 103184     0 141373 139762  5  2 63 29  1	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  4      0 97509440   9316  69692    0    0 105520     0 141454 139724  4  2 64 29  1	
 5  4      0 97509440   9324  69688    0    0 105696    12 142717 141275  5  2 63 29  1	
 6  2      0 97509440   9324  69696    0    0 103888     0 140010 138693  6  2 63 29  1	
 6  3      0 97509440   9324  69696    0    0 103776     0 139388 136873  6  2 63 29  1	
 2  6      0 97509440   9324  69696    0    0 101904     0 139938 138448  6  2 63 28  1	
 5  3      0 97509440   9324  69696    0    0 104672     0 142987 140893  6  2 63 28  1	
 5  4      0 97509440   9324  69696    0    0 105776     0 141535 140023  5  2 63 29  1	
 5  4      0 97509440   9332  69696    0    0 103552    12 143033 142344  5  2 63 28  1	
 7  2      0 97509440   9332  69696    0    0 102816     0 140896 139550  5  2 63 29  1	
 4  4      0 97509440   9332  69696    0    0 102736    16 142224 141016  5  3 63 29  1	
 3  5      0 97509440   9332  69696    0    0 103360     0 140646 139642  5  2 63 29  1	
 6  3      0 97509440   9332  69696    0    0 105280     0 142858 141563  6  2 63 28  1	
 5  4      0 97509440   9340  69688    0    0 102672    20 139163 137970  6  2 63 29  1	
 3  6      0 97509440   9340  69688    0    0 102688     0 138053 135774  6  2 63 28  1	
 5  5      0 97509312   9340  69696    0    0 102528     0 141160 139799  5  2 63 28  1	
 7  1      0 97509312   9340  69696    0    0 99248     0 134850 132950  5  2 62 30  1	
 7  2      0 97509312   9340  69696    0    0 104336     0 138720 137668  5  2 62 29  1	
 7  3      0 97509312   9340  69696    0    0 105808     0 142797 141084  5  2 63 29  1	
 4  4      0 97509192   9348  69700    0    0 104976    12 142869 141058  5  2 64 28  1	
 5  3      0 97509192   9348  69700    0    0 106976     0 141848 140249  5  2 62 29  1	
 4  6      0 97509192   9348  69700    0    0 104880     0 140791 139740  5  2 63 29  1	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  3      0 97509192   9348  69700    0    0 105728     0 141203 140436  5  2 63 29  1	
 6  3      0 97509192   9348  69700    0    0 104512     0 141302 140123  5  2 63 29  1	
 6  3      0 97509192   9356  69692    0    0 103472    16 140604 139437  5  2 63 29  1	
 6  2      0 97509192   9356  69700    0    0 104576    24 143766 142449  5  2 63 28  1	
 3  6      0 97509192   9356  69700    0    0 104448     0 141083 139805  5  2 63 29  1	
 4  5      0 97509192   9356  69700    0    0 105680     0 143895 143027  5  2 63 28  1	
 8  1      0 97509192   9356  69700    0    0 105600     0 143394 141743  5  2 65 28  1	
 4  5      0 97509192   9356  69700    0    0 103248     0 139762 138249  5  1 63 29  1	
 5  3      0 97509192   9364  69700    0    0 103712    12 141151 139075  6  2 63 28  1	
 6  4      0 97509192   9364  69700    0    0 102208     0 137566 136155  6  2 63 28  1	
 4  4      0 97509192   9364  69700    0    0 103280     0 139152 137288  6  2 63 29  1	
 5  3      0 97509192   9364  69700    0    0 104640     0 138596 136819  5  2 63 28  1	
 7  2      0 97509192   9364  69700    0    0 103664     0 138316 136289  5  2 63 29  1	
 3  5      0 97509192   9372  69692    0    0 101408    12 140642 138796  5  2 63 28  1	
 5  3      0 97509192   9372  69700    0    0 102144     0 139978 138107  6  2 63 28  1	
 4  5      0 97509192   9372  69700    0    0 104496     0 142933 140921  6  2 63 28  1	
 6  5      0 97509192   9372  69700    0    0 105120     0 142395 140599  6  1 63 28  1	
 4  4      0 97509192   9372  69700    0    0 106544     0 143678 141686  5  2 63 28  1	
 5  3      0 97509192   9380  69692    0    0 104016    32 139928 138429  4  2 63 29  1	
 6  4      0 97509192   9380  69700    0    0 102736     0 139592 137946  5  2 63 29  1	
 7  2      0 97509192   9380  69700    0    0 102064     0 138013 137508  5  2 63 29  1	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
