procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 46965436  13992  70340    0    0   984     3  128  545 29 10 58  3  1	
68  0      0 46856780  13992  70364    0    0     0     0 122497 253694 53 20 26  0  1	
67  0      0 46854920  13992  70364    0    0     0     0 9081 233344 76 24  0  0  0	
70  0      0 46853308  13992  70364    0    0     0     0 4254 237708 75 25  0  0  0	
66  0      0 46853308  13992  70364    0    0     0     0 4121 237810 75 25  0  0  0	
66  0      0 46853308  13992  70364    0    0     0     0 4080 232736 76 24  0  0  0	
65  0      0 46853308  14000  70364    0    0     0    40 4088 233879 76 24  0  0  0	
69  0      0 46853308  14000  70364    0    0     0     0 4079 236186 76 24  0  0  0	
66  0      0 46853308  14000  70364    0    0     0     0 4082 238006 77 24  0  0  0	
70  0      0 46853308  14000  70364    0    0     0     0 4099 237738 76 24  0  0  0	
67  0      0 46853308  14000  70364    0    0     0     0 4079 238086 76 24  0  0  0	
66  0      0 46853308  14008  70356    0    0     0    12 4083 238060 75 25  0  0  0	
68  0      0 46853308  14008  70364    0    0     0     0 4089 234451 75 25  0  0  0	
68  0      0 46853308  14008  70364    0    0     0     0 4097 237957 77 23  0  0  0	
67  0      0 46853308  14008  70364    0    0     0     0 4077 238018 74 26  0  0  0	
65  0      0 46853308  14008  70364    0    0     0     0 4081 235157 76 24  0  0  0	
66  0      0 46853308  14008  70364    0    0     0     0 4072 238022 75 25  0  0  0	
67  0      0 46853308  14016  70364    0    0     0    12 4089 236984 76 24  0  0  0	
69  0      0 46853308  14016  70364    0    0     0     0 4096 237790 75 25  0  0  0	
66  0      0 46853308  14016  70364    0    0     0     0 4079 238176 75 25  0  0  0	
66  0      0 46853308  14016  70364    0    0     0     0 4080 238143 75 25  0  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
66  0      0 46853308  14016  70364    0    0     0     0 4083 238036 75 25  0  0  0	
68  0      0 46853308  14024  70356    0    0     0    12 4103 235097 76 24  0  0  0	
70  0      0 46853308  14024  70364    0    0     0     0 4076 237991 75 25  0  0  0	
69  0      0 46853308  14024  70364    0    0     0     0 4083 238107 76 24  0  0  0	
65  0      0 46853308  14024  70364    0    0     0     0 4083 235328 76 24  0  0  0	
66  0      0 46853308  14024  70364    0    0     0     0 4077 237437 75 25  0  0  0	
66  0      0 46853308  14024  70364    0    0     0     0 4100 236038 76 24  0  0  0	
68  0      0 46853308  14032  70364    0    0     0    12 4088 237962 75 25  0  0  0	
65  0      0 46853308  14032  70364    0    0     0     0 4078 238144 75 25  0  0  0	
65  0      0 46853308  14032  70364    0    0     0     0 4081 237993 75 25  0  0  0	
69  0      0 46853308  14032  70364    0    0     0    16 4080 238120 75 25  0  0  0	
67  0      0 46853308  14032  70364    0    0     0     0 4096 234646 76 24  0  0  0	
69  0      0 46853308  14040  70360    0    0     0    28 4083 237917 75 25  0  0  0	
69  0      0 46853308  14040  70368    0    0     0     0 4084 238081 74 26  0  0  0	
68  0      0 46853308  14040  70368    0    0     0     0 4077 235325 76 24  0  0  0	
66  0      0 46853308  14040  70368    0    0     0    36 4103 238163 74 26  0  0  0	
67  0      0 46853308  14040  70368    0    0     0     0 4089 236949 76 24  0  0  0	
67  0      0 46853308  14040  70368    0    0     0     0 4081 238026 75 25  0  0  0	
67  0      0 46853308  14048  70368    0    0     0    12 4083 238162 74 26  0  0  0	
65  0      0 46853308  14048  70368    0    0     0     0 4082 238095 75 25  0  0  0	
69  0      0 46853308  14048  70368    0    0     0     0 4097 236763 76 24  0  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
64  0      0 46853308  14048  70368    0    0     0     0 4081 237874 77 23  0  0  0	
69  0      0 46853308  14048  70372    0    0     0     0 4081 237918 76 24  0  0  0	
67  0      0 46853308  14056  70364    0    0     0    12 4086 237947 77 23  0  0  0	
65  0      0 46853308  14056  70372    0    0     0     0 4097 234120 76 24  0  0  0	
68  0      0 46853308  14056  70372    0    0     0     0 4082 237575 74 26  0  0  0	
66  0      0 46853308  14056  70372    0    0     0     0 4084 236831 77 23  0  0  0	
68  0      0 46853308  14056  70372    0    0     0     0 4071 237724 75 25  0  0  0	
68  0      0 46853308  14056  70372    0    0     0     0 4081 237649 75 25  0  0  0	
66  0      0 46853184  14064  70372    0    0     0    16 4105 237297 76 24  0  0  0	
69  0      0 46853184  14064  70372    0    0     0     0 4077 236713 76 24  0  0  0	
65  0      0 46853184  14064  70372    0    0     0     0 4083 231779 75 25  0  0  0	
67  0      0 46853184  14064  70372    0    0    16     0 4082 237133 75 25  0  0  0	
