procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 69362720   7792  72580    0    0 15840     0 58172 58633  1  0 94  4  0	
 2  0      0 69362720   7792  72580    0    0 15216     0 58309 58731  1  0 94  4  0	
 2  0      0 69362720   7792  72580    0    0 15536     0 57974 58846  1  1 94  4  0	
 4  0      0 69362720   7792  72580    0    0 14880    32 56914 57961  1  0 94  4  0	
 3  0      0 69362720   7800  72572    0    0 15408    12 57419 58151  1  0 94  4  0	
 2  0      0 69362720   7800  72572    0    0 15536     0 57497 57929  1  0 94  4  0	
 1  1      0 69362720   7800  72572    0    0 15136     0 57551 58011  1  0 95  4  0	
 2  1      0 69362720   7800  72572    0    0 15600     0 57343 57753  1  0 94  4  0	
 1  1      0 69362720   7800  72580    0    0 14704     0 56430 56860  1  0 94  4  0	
 0  2      0 69362720   7800  72580    0    0 15824     0 56765 57241  1  0 94  4  0	
 2  0      0 69362720   7808  72580    0    0 15248    12 57115 57486  1  0 94  4  0	
 2  1      0 69362720   7808  72580    0    0 16128     0 57272 57612  1  0 94  4  0	
 2  0      0 69362720   7808  72580    0    0 15504     0 58643 59089  1  0 94  4  0	
 1  1      0 69362720   7808  72580    0    0 15344     0 57289 57701  1  0 94  4  0	
 3  0      0 69362720   7808  72580    0    0 14592     0 57922 58233  2  0 94  4  0	
 1  1      0 69362720   7816  72576    0    0 15344    12 56560 57004  1  1 94  4  0	
 1  1      0 69362720   7816  72580    0    0 14992     0 58625 58943  1  0 94  4  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1      0 69362720   7816  72580    0    0 15776     0 57484 57960  1  1 94  4  0	
 1  1      0 69362720   7816  72580    0    0 15072     0 58778 59165  1  0 94  4  0	
 2  0      0 69362720   7816  72580    0    0 15792     0 56413 56921  1  1 94  4  0	
 2  0      0 69362720   7816  72580    0    0 14672     0 57081 57610  1  0 94  4  0	
 1  0      0 69362720   7824  72572    0    0 15952    12 57786 58704  1  0 94  4  0	
 2  1      0 69362720   7824  72572    0    0 14944     0 58607 59349  1  0 95  4  0	
 2  1      0 69362720   7824  72584    0    0 15344     0 56263 57155  1  0 94  4  0	
 3  0      0 69362720   7824  72584    0    0 15200     0 55848 56629  1  0 94  4  0	
 0  2      0 69362720   7824  72584    0    0 15280     0 57520 58336  1  0 94  4  0	
 0  2      0 69362720   7832  72576    0    0 15568    12 56452 57274  1  0 94  4  0	
 2  0      0 69362720   7832  72576    0    0 15792     0 58383 59235  1  1 94  4  0	
 1  1      0 69362720   7832  72584    0    0 15776     0 56757 57543  1  0 94  4  0	
 1  1      0 69362720   7832  72584    0    0 16208    16 55687 56522  1  0 94  4  0	
 1  1      0 69362720   7832  72584    0    0 15872     0 57168 57958  1  0 94  4  0	
 2  0      0 69362720   7832  72584    0    0 16112     0 58490 59370  1  0 95  4  0	
 0  2      0 69362720   7840  72584    0    0 15792    20 57764 58511  1  0 94  4  0	
 3  0      0 69362720   7840  72584    0    0 15856     0 57337 58268  1  0 94  4  0	
