procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 69392856   5892  67252    0    0  1748     2  201  148 44 14 37  4  0	
 0  1      0 69390888   5892  67252    0    0  7168     0 28234 28205  1  0 97  2  0	
 1  0      0 69390888   5892  67252    0    0  7024     0 27244 27795  0  0 97  2  0	
 1  0      0 69392080   5892  67896    0    0  6928     0 27510 28050  0  0 97  2  0	
 0  1      0 69392080   5892  67896    0    0  7120     0 27728 28271  0  0 97  2  0	
 0  1      0 69392080   5892  67896    0    0  7104     0 26344 26895  1  0 97  2  0	
 1  0      0 69392080   5900  67892    0    0  7504    40 26376 26947  0  0 97  2  0	
 0  1      0 69392080   5900  67892    0    0  6880     0 27784 28320  1  0 97  2  0	
 1  0      0 69392080   5900  67892    0    0  7312     0 26888 27423  0  0 97  2  0	
 1  0      0 69392080   5900  67892    0    0  7376     0 27537 28070  1  0 97  2  0	
 0  1      0 69392080   5900  67892    0    0  7440     0 26859 27389  1  0 97  2  0	
 1  0      0 69392080   5908  67896    0    0  7392    12 26752 27301  1  0 97  2  0	
 1  0      0 69392080   5908  67896    0    0  7232     0 27012 27545  1  0 97  2  0	
 0  1      0 69392080   5908  67896    0    0  7712     0 27835 28402  0  0 97  2  0	
 0  1      0 69392080   5908  67896    0    0  7664     0 27600 28178  0  0 97  2  0	
 2  0      0 69392080   5908  67896    0    0  8272     0 26491 27085  0  0 97  2  0	
 1  0      0 69392080   5908  67896    0    0  7440    44 28458 28996  0  0 97  2  0	
 0  1      0 69392080   5916  67888    0    0  7152    12 27943 28474  0  0 97  2  0	
 1  0      0 69392080   5916  67888    0    0  7120     0 28859 29409  0  0 97  2  0	
 1  0      0 69392080   5916  67896    0    0  7600     0 28226 28802  1  0 97  2  0	
 1  0      0 69392080   5916  67896    0    0  7248     0 28268 28787  1  0 97  2  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 69392080   5916  67896    0    0  7408     0 28363 28911  0  0 97  2  0	
 0  1      0 69392080   5924  67888    0    0  7136    12 27598 28141  1  0 97  2  0	
 1  0      0 69392080   5924  67888    0    0  7456     0 27270 27809  1  0 97  2  0	
 1  0      0 69392080   5924  67888    0    0  7664     0 28437 29004  1  0 97  2  0	
 0  1      0 69392080   5924  67888    0    0  7728     0 27264 27832  1  0 97  2  0	
 1  0      0 69392080   5924  67888    0    0  7152    20 28460 28975  1  0 97  2  0	
 1  0      0 69392080   5924  67896    0    0  7696     0 28269 28848  0  0 97  2  0	
 0  1      0 69392080   5932  67896    0    0  7408    40 28455 28988  0  0 97  2  0	
 1  0      0 69392080   5932  67896    0    0  7088     0 27561 28099  1  0 97  2  0	
 1  0      0 69392080   5932  67896    0    0  7584     0 26686 27261  0  0 97  2  0	
 0  1      0 69392080   5936  67892    0    0  7140    16 28101 28608  0  0 97  2  0	
 1  0      0 69392080   5936  67892    0    0  7488     0 27486 28025  1  0 97  2  0	
 2  0      0 69392080   5944  67884    0    0  7440    24 29483 29095  0  0 98  2  0	
 0  1      0 69392080   5944  67884    0    0  6992     0 28432 28941  0  0 97  2  0	
 2  0      0 69392208   5944  67908    0    0  7408     0 26967 27051  0  0 97  2  0	
 3  0      0 69392208   5944  67908    0    0  7408     0 27964 27608  1  0 97  2  0	
 2  0      0 69392208   5944  67908    0    0  7440     0 28544 28741  0  0 97  2  0	
 1  1      0 69392208   5944  67908    0    0  7360     0 27619 28161  1  0 97  2  0	
 2  0      0 69392208   5952  67900    0    0  7632    12 28457 29032  0  0 97  2  0	
 1  0      0 69392208   5952  67900    0    0  7472     0 27292 27881  0  0 97  2  0	
 1  0      0 69392208   5952  67900    0    0  7744     0 28066 28629  1  0 97  2  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 69392208   5952  67900    0    0  7472     0 27773 28349  0  0 97  2  0	
 1  0      0 69392208   5960  67904    0    0  7344    12 28343 28926  1  0 97  2  0	
 1  0      0 69392208   5960  67904    0    0  7376     0 26750 27309  0  0 97  2  0	
 2  0      0 69392208   5960  67904    0    0  7120     0 27104 27686  1  0 97  2  0	
 1  0      0 69392208   5960  67904    0    0  7376     0 27968 28531  0  0 97  2  0	
 1  0      0 69392208   5960  67904    0    0  7152    36 28154 28679  1  0 97  2  0	
 1  0      0 69392208   5968  67896    0    0  7984    12 26503 27244  1  0 97  2  0	
 1  0      0 69392208   5968  67896    0    0  7504     0 27804 28351  1  0 97  2  0	
 1  0      0 69392208   5968  67896    0    0  7920     0 27293 27885  1  0 97  2  0	
 1  0      0 69392208   5968  67912    0    0  7264     0 27875 28573  1  0 97  2  0	
 1  0      0 69392208   5968  67912    0    0  7328     0 27470 28070  1  0 97  2  0	
 1  0      0 69392208   5968  67912    0    0  7472     0 27987 28597  1  0 97  2  0	
 1  0      0 69392208   5976  67904    0    0  7648    12 28518 29110  1  0 97  2  0	
 0  1      0 69392208   5976  67904    0    0  7936     0 26511 27101  1  0 97  2  0	
 1  0      0 69392208   5976  67904    0    0  7360     0 28787 29366  1  0 97  2  0	
 1  0      0 69392208   5976  67904    0    0  7776     4 27504 28122  1  0 97  2  0	
 1  0      0 69392208   5976  67904    0    0  8688     0 26485 27124  0  0 97  2  0	
 1  0      0 69392208   5984  67908    0    0  7872    12 27534 28134  0  0 97  2  0	
 1  0      0 69392208   5984  67908    0    0  7584     0 28532 29112  1  0 97  2  0	
 1  0      0 69392208   5984  67908    0    0  7120     0 28640 29214  1  0 97  2  0	
 1  0      0 69392208   5984  67912    0    0  7536    16 28133 28726  1  0 97  2  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 69392208   5984  67912    0    0  7920     0 27168 27750  0  0 97  2  0	
 0  1      0 69392208   5984  67912    0    0  7552     0 27517 28106  0  0 97  2  0	
 1  0      0 69392208   5992  67904    0    0  6944    20 28110 28675  1  0 97  2  0	
