procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 42701256  14904 115896    0    0   392  3618   90   95 13  2 80  6  0	
 2  0      0 42697412  14904 115916    0    0    48     0 78631 78779  2  1 97  0  0	
 4  0      0 42697288  14904 115916    0    0    16    24 80439 80886  2  0 97  0  1	
 2  0      0 42697288  14904 115916    0    0    64     0 80156 80370  2  1 97  0  0	
 2  0      0 42697164  14904 115916    0    0    96     0 80107 80350  1  1 97  0  0	
 4  0      0 42697164  14904 115916    0    0    96     0 79030 79270  2  1 97  0  0	
 3  0      0 42697164  14912 115908    0    0    32    36 79630 79940  2  1 97  0  0	
 2  0      0 42697164  14912 115908    0    0    64     0 79626 80185  2  1 97  0  0	
 3  0      0 42697164  14912 115908    0    0    80     0 79122 79676  2  1 97  0  0	
 3  0      0 42697040  14912 115916    0    0    80     0 79560 80421  2  1 97  0  0	
 2  0      0 42697040  14912 115916    0    0   160     0 79057 79748  2  1 97  0  0	
 2  0      0 42697040  14920 115916    0    0    96    12 79287 80040  1  0 98  0  0	
 3  0      0 42696792  14920 115916    0    0    32     0 79270 79878  1  1 97  0  0	
 4  0      0 42696792  14920 115916    0    0    80     0 78789 79702  1  1 97  0  0	
 2  0      0 42696792  14920 115916    0    0   128     0 79241 79859  1  1 97  0  1	
 2  0      0 42696792  14920 115916    0    0   112     0 78452 78921  1  1 97  0  0	
 2  0      0 42696792  14920 115916    0    0   112     0 79261 79737  1  1 97  0  0	
 2  0      0 42696420  14928 115916    0    0   128    12 79236 79755  1  1 97  0  0	
 3  0      0 42696420  14928 115916    0    0    96     0 79116 80272  2  1 97  0  0	
 2  0      0 42696420  14928 115916    0    0   112     0 79239 80746  1  1 97  0  0	
 2  0      0 42696420  14928 115916    0    0    96     0 79065 80624  2  1 97  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 42696420  14928 115916    0    0    48     0 79166 80742  1  1 97  0  0	
 2  0      0 42696420  14936 115908    0    0   144    12 79223 80652  1  0 98  0  0	
 2  0      0 42696420  14936 115908    0    0   144     0 78825 80223  1  1 98  0  0	
 2  0      0 42696420  14936 115908    0    0   112     0 79177 80616  1  1 97  0  0	
 2  0      0 42695552  14936 115916    0    0   112     0 78133 79631  2  1 97  0  0	
 4  0      0 42695428  14936 115916    0    0   112     0 76897 78767  1  1 97  0  0	
 4  0      0 42695428  14936 115916    0    0   112     0 79122 80587  1  1 97  0  0	
 2  0      0 42695428  14944 115908    0    0   160    12 79012 80642  1  1 97  0  0	
 2  0      0 42695428  14944 115908    0    0    48     0 79397 80820  1  1 98  0  1	
 3  0      0 42695428  14944 115908    0    0   112     0 79196 80547  1  1 97  0  0	
 2  0      0 42695428  14944 115908    0    0    48     0 78430 79860  1  1 97  0  0	
 2  0      0 42695428  14944 115908    0    0    48     0 79083 80692  1  1 97  0  0	
 3  0      0 42694808  14952 115920    0    0   112    32 78294 80044  2  1 97  0  1	
 3  0      0 42694808  14952 115920    0    0   112     0 78350 80326  1  1 97  0  0	
 3  0      0 42694808  14952 115920    0    0    80     0 78475 79751  1  1 97  0  1	
 2  0      0 42694808  14952 115920    0    0   128     0 79015 80409  1  1 97  0  0	
 2  0      0 42694808  14952 115920    0    0    96     0 79163 80578  1  1 97  0  0	
 2  0      0 42694808  14952 115920    0    0    64    20 78962 80497  1  1 97  0  1	
 2  0      0 42694808  14960 115912    0    0    32    24 79247 80767  1  1 97  0  0	
 2  0      0 42694808  14960 115912    0    0    48     0 79189 80681  2  1 97  0  0	
 3  0      0 42694064  14960 115920    0    0   192     0 78706 80467  1  1 98  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 42693940  14960 115920    0    0   112     0 78669 80753  1  1 97  0  1	
 2  0      0 42693940  14960 115924    0    0    64     0 78921 80421  2  1 97  0  0	
 3  0      0 42693940  14968 115916    0    0   112    12 78978 80260  2  1 97  0  0	
 2  0      0 42693940  14968 115916    0    0    64     0 78703 79953  1  1 97  0  1	
 2  0      0 42693940  14968 115916    0    0   128     0 78965 80073  2  1 97  0  0	
 3  0      0 42693940  14968 115916    0    0    48     0 79243 80368  2  1 97  0  0	
 2  0      0 42693940  14968 115916    0    0    96     0 79374 80512  1  1 97  0  0	
 2  0      0 42693320  14968 115924    0    0    48     0 78879 80186  2  1 97  0  0	
 2  0      0 42693320  14976 115924    0    0    16    16 79088 80488  1  1 97  0  0	
 2  0      0 42693320  14976 115924    0    0    32     0 79171 80398  2  1 97  0  0	
 2  0      0 42693320  14976 115924    0    0    64     0 79077 80160  1  1 97  0  0	
 2  0      0 42693320  14976 115924    0    0   176     0 79889 80222  2  0 97  0  1	
 4  0      0 42693320  14976 115924    0    0    80     0 80674 80905  2  1 97  0  0	
 3  0      0 42693320  14984 115916    0    0   128    12 79283 79577  2  1 97  0  0	
 4  0      0 42693320  14984 115916    0    0    80     0 80985 81301  2  1 97  0  0	
 3  0      0 42692948  14984 115928    0    0    80     0 80836 81183  2  1 97  0  1	
 3  0      0 42692824  14984 115928    0    0    48     0 80639 81208  1  0 98  0  0	
 2  0      0 42692824  14984 115928    0    0   128     0 80409 80772  2  0 97  0  0	
 2  0      0 42692824  14992 115920    0    0   144    20 81034 81306  2  0 97  0  0	
 3  0      0 42692824  14992 115920    0    0   112     0 80304 80542  2  1 97  0  0	
 3  0      0 42692824  14992 115920    0    0    96     0 80136 80436  2  1 97  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 42692824  14992 115920    0    0   112     0 80441 80578  2  1 97  0  0	
 2  0      0 42692824  14992 115920    0    0   112    12 80987 81340  2  1 97  0  0	
 3  0      0 42692328  15000 115928    0    0    96    28 79847 80080  2  1 97  0  0	
 2  0      0 42692204  15000 115928    0    0   112     0 80561 80845  1  1 97  0  0	
