procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 97509648   9248  69728    0    0  2016  1808   74   92 25  6 62  7  0	
 6  4      0 97498240   9248  69744    0    0 100432     0 143650 141513  6  2 63 28  1	
 5  3      0 97496992   9248  69744    0    0 102656     0 138239 138597  4  2 63 30  1	
 5  4      0 97496992   9248  69744    0    0 101072     0 135539 136221  4  2 62 31  1	
 5  3      0 97496992   9248  69744    0    0 103712     0 135524 135834  4  2 62 30  1	
 7  3      0 97496992   9248  69744    0    0 102208     0 138998 138277  5  2 63 29  1	
 3  6      0 97496992   9256  69744    0    0 104256    36 137377 137228  5  2 62 29  1	
 4  4      0 97496992   9256  69744    0    0 102352     0 137554 136790  5  1 63 31  1	
 5  4      0 97496992   9256  69744    0    0 103552     0 139992 140088  5  2 63 30  1	
 7  2      0 97496992   9256  69744    0    0 85168     0 114022 113213  3  2 60 34  1	
 6  3      0 97496992   9256  69744    0    0 102096     0 136944 136485  4  1 63 31  1	
 5  5      0 97496992   9264  69744    0    0 104736    12 139711 139560  4  2 63 30  1	
 6  4      0 97496992   9264  69744    0    0 105552     0 141519 140638  4  2 63 30  1	
 6  5      0 97496992   9264  69744    0    0 105776     0 139219 138990  5  2 62 30  1	
 7  2      0 97496992   9264  69744    0    0 102464     0 139418 139515  5  2 63 30  1	
 8  2      0 97496992   9264  69744    0    0 103456     0 139311 138797  5  1 63 30  1	
 5  3      0 97496992   9264  69744    0    0 103376    52 138699 138534  5  1 63 30  1	
 5  3      0 97496992   9272  69744    0    0 105152    12 140881 140367  5  2 62 29  1	
 4  4      0 97496992   9272  69744    0    0 104048     0 139682 139684  5  2 63 30  1	
 6  2      0 97496992   9272  69744    0    0 106144     0 142699 142123  5  2 63 30  1	
 6  4      0 97496992   9272  69744    0    0 105680     0 138153 138365  5  1 63 30  1	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  3      0 97496992   9272  69744    0    0 104928     4 142359 142272  4  2 63 30  1	
 3  5      0 97496992   9280  69744    0    0 106576    12 140277 140621  5  2 62 30  1	
 1  7      0 97496992   9280  69744    0    0 104160     0 140900 140299  4  2 63 30  1	
 5  3      0 97496992   9280  69744    0    0 102080     0 136151 135913  5  2 62 31  1	
 4  4      0 97496992   9280  69744    0    0 103696     0 139850 139206  5  2 62 30  1	
 4  5      0 97496992   9280  69744    0    0 103520     0 140010 139893  5  1 62 30  1	
 8  1      0 97496992   9280  69744    0    0 103728     0 137934 137316  4  2 63 30  1	
 4  5      0 97496992   9288  69744    0    0 103120    12 140581 140186  4  2 63 30  1	
 4  6      0 97496992   9288  69744    0    0 105008     0 137600 138218  5  1 63 30  1	
 2  6      0 97496992   9288  69744    0    0 101008     0 136586 135807  4  2 63 30  1	
 9  0      0 97496992   9288  69744    0    0 105744    16 143366 143192  5  2 63 29  1	
 7  3      0 97496992   9288  69744    0    0 105536     0 141268 141557  5  2 63 29  1	
 3  5      0 97496992   9296  69744    0    0 106720    24 140335 140497  6  1 62 30  1	
 3  6      0 97496992   9296  69748    0    0 103952     0 138338 137666  4  2 63 30  1	
 5  4      0 97496992   9296  69748    0    0 104928     0 141022 140088  4  2 63 30  1	
 4  4      0 97496992   9296  69748    0    0 105328     0 142570 142229  5  2 63 29  1	
 7  1      0 97496992   9296  69748    0    0 101824     0 136847 136362  5  2 62 30  1	
 7  2      0 97496992   9296  69748    0    0 101712     0 138535 138459  5  1 63 30  1	
 4  4      0 97496992   9304  69740    0    0 105184    12 139676 139290  5  1 63 30  1	
 6  3      0 97496992   9304  69748    0    0 106144     0 139085 138844  5  2 62 29  1	
 6  3      0 97496992   9304  69748    0    0 106144     0 141411 142402  4  2 63 29  1	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  5      0 97496992   9304  69748    0    0 107584     0 139658 139617  4  2 64 30  1	
 3  5      0 97496992   9304  69752    0    0 104816     0 138727 139149  4  2 63 30  1	
 7  3      0 97496992   9312  69744    0    0 102656    12 136185 137017  4  2 63 30  1	
 4  4      0 97496992   9312  69752    0    0 104112     0 140451 140561  5  2 63 29  1	
 4  4      0 97496992   9312  69752    0    0 104320     0 139958 140553  5  2 63 29  1	
 1  7      0 97496992   9312  69752    0    0 101328     0 138410 138228  5  1 62 30  1	
 7  2      0 97496992   9312  69752    0    0 103552     0 139988 139485  5  2 62 29  1	
 2  6      0 97496992   9312  69752    0    0 104368     0 137663 137567  5  2 62 30  1	
 7  1      0 97496992   9320  69752    0    0 103744    12 140095 139660  5  2 63 30  1	
 4  4      0 97496992   9320  69752    0    0 103488     0 139475 139767  5  2 62 30  1	
 5  4      0 97496992   9320  69752    0    0 101568    12 138262 138172  5  2 63 30  1	
 7  2      0 97496992   9320  69752    0    0 103776     0 136480 137295  4  2 63 30  1	
 7  3      0 97496992   9320  69752    0    0 104560     0 139854 140333  5  2 63 30  1	
 4  4      0 97496872   9328  69752    0    0 103184    12 137010 137427  5  2 63 30  1	
 3  6      0 97496872   9328  69752    0    0 104576     0 139745 140207  5  2 63 30  1	
 5  4      0 97496872   9328  69752    0    0 102016     0 136682 136880  5  2 62 30  1	
 5  4      0 97496872   9328  69752    0    0 103120     0 137625 137520  5  2 62 30  1	
11  1      0 97496872   9328  69752    0    0 102016     0 138834 139512  5  2 63 30  1	
 4  5      0 97496872   9328  69752    0    0 104384     0 137714 137613  4  2 62 30  1	
 6  4      0 97496872   9336  69752    0    0 102720    12 137719 138108  6  2 62 29  1	
 8  1      0 97496872   9336  69752    0    0 99168    16 133139 133748  4  2 63 31  1	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  5      0 97496872   9336  69752    0    0 104304     0 138703 138175  5  2 62 30  1	
 4  4      0 97496872   9336  69752    0    0 102288     0 136103 136179  5  1 63 30  1	
 4  5      0 97496872   9344  69744    0    0 102752    20 137259 137272  4  1 63 31  1	
 4  5      0 97496872   9344  69752    0    0 103024     0 137279 137032  4  1 63 30  1	
 4  4      0 97496872   9344  69752    0    0 103696     0 138913 138934  4  2 63 30  1	
 5  4      0 97496872   9344  69752    0    0 103152     0 137952 137889  4  2 63 30  1	
 3  5      0 97496872   9344  69756    0    0 101936     0 139103 139015  5  2 63 29  1	
 4  4      0 97496872   9344  69756    0    0 102368     0 140575 141122  5  2 63 29  1	
 7  2      0 97496872   9352  69756    0    0 104496    12 139894 140868  5  2 63 30  1	
 1  7      0 97496872   9352  69756    0    0 105408     0 141417 141105  5  2 63 30  1	
 8  1      0 97496872   9352  69756    0    0 106112     0 140147 139348  4  2 62 30  1	
 7  3      0 97496872   9352  69756    0    0 103888     0 137607 138293  5  2 63 30  1	
 5  4      0 97496872   9352  69756    0    0 102048     0 137289 137528  5  2 63 30  1	
 6  3      0 97496872   9360  69748    0    0 103824    12 137152 137003  5  1 62 30  1	
 3  5      0 97496872   9360  69756    0    0 102544     0 138997 139861  5  2 63 30  1	
 7  3      0 97496872   9360  69756    0    0 103712     0 137615 137966  5  1 62 30  1	
 6  4      0 97496872   9360  69756    0    0 105056     0 138356 138674  4  1 63 30  1	
 3  5      0 97496872   9360  69756    0    0 106144     0 141842 142063  5  2 63 29  1	
 7  2      0 97496872   9360  69756    0    0 105536     0 137589 137198  4  1 63 30  1	
 5  3      0 97496872   9368  69748    0    0 104064    12 138235 137879  5  1 62 30  1	
 4  5      0 97496872   9368  69756    0    0 104768     0 139650 139676  5  2 63 30  1	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  3      0 97496872   9368  69756    0    0 103312     0 139568 139689  5  1 63 30  1	
 4  4      0 97496872   9368  69760    0    0 105952     0 141187 140774  5  2 63 29  1	
 4  4      0 97496872   9368  69760    0    0 105664     0 140429 139927  5  2 63 29  1	
 6  3      0 97496872   9376  69752    0    0 104848    20 141212 141887  5  2 63 29  1	
 4  4      0 97496872   9376  69760    0    0 104400     0 141352 142029  5  2 62 29  1	
 4  4      0 97496872   9376  69760    0    0 106448     0 142941 142781  4  2 63 29  1	
 8  2      0 97496872   9376  69760    0    0 105808     0 143109 142636  4  2 64 29  1	
 5  4      0 97496872   9376  69760    0    0 104880     0 140725 140257  4  2 63 30  1	
 7  4      0 97496872   9384  69752    0    0 105664    36 138528 138723  5  2 63 29  1	
 6  3      0 97496752   9384  69760    0    0 102464     0 139499 138756  5  1 63 30  1	
 4  5      0 97496752   9384  69760    0    0 103168     0 138857 138512  5  2 62 30  1	
 8  3      0 97496752   9384  69760    0    0 105056     0 139322 138990  4  2 63 30  1	
 7  3      0 97496752   9384  69760    0    0 106336     0 142673 141941  5  2 63 29  1	
 8  2      0 97496752   9384  69760    0    0 106992     0 141424 141643  4  1 63 30  1	
 1  7      0 97496752   9392  69760    0    0 105760    12 139529 139333  5  2 63 30  1	
 5  3      0 97496752   9392  69760    0    0 102976     0 136556 136811  5  2 63 30  1	
 6  3      0 97496752   9392  69760    0    0 101888     0 137405 137852  4  2 63 30  1	
 5  3      0 97496752   9392  69764    0    0 99616     0 137431 137719  5  1 63 30  1	
 4  5      0 97496752   9392  69764    0    0 103744     0 139345 139835  5  2 63 30  1	
 3  6      0 97496752   9400  69756    0    0 103440    12 138284 138573  4  2 63 30  1	
 6  4      0 97496752   9400  69756    0    0 105344     0 143326 143647  5  2 63 29  1	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
