procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 69370248   5664  67648    0    0   768  2577   96   17 25  6 65  5  0	
 1  0      0 69368728   5664  67648    0    0  7856    12 27863 27386  1  0 97  2  0	
 1  0      0 69368728   5664  67648    0    0  6704     0 25437 25931  0  0 97  2  0	
 1  0      0 69368728   5664  67648    0    0  6768     0 25731 26221  0  0 97  2  0	
 0  1      0 69368728   5664  67648    0    0  7008     0 25022 25507  1  0 97  2  0	
 1  0      0 69369840   5672  68296    0    0  7328    48 24841 25388  0  0 97  2  0	
 0  1      0 69369840   5672  68296    0    0  6416     0 26223 26679  1  0 97  2  0	
 0  1      0 69369840   5672  68296    0    0  7184     4 25224 25733  1  0 97  2  0	
 1  0      0 69369840   5672  68296    0    0  6816     0 26191 26695  0  0 98  2  0	
 1  0      0 69369840   5672  68296    0    0  6656     0 26770 27258  0  0 98  2  0	
 1  0      0 69369840   5680  68292    0    0  7248    12 25486 26015  0  0 97  2  0	
 1  0      0 69369840   5680  68292    0    0  6464     0 26495 26960  0  1 97  2  0	
 2  0      0 69369840   5680  68292    0    0  6848    36 25987 26484  1  0 98  2  0	
 1  0      0 69369840   5680  68296    0    0  6880     0 25801 26294  0  0 97  2  0	
 0  1      0 69369840   5680  68296    0    0  7024     0 25764 26263  0  0 98  2  0	
 1  0      0 69369840   5680  68296    0    0  7120     0 25290 25815  0  0 97  2  0	
 1  0      0 69369840   5688  68288    0    0  6624    12 26106 26592  0  0 98  2  0	
 1  0      0 69369840   5688  68288    0    0  7040     0 25364 25866  1  0 97  2  0	
 1  0      0 69369840   5688  68288    0    0  6608     0 26230 26707  1  0 97  2  0	
 1  0      0 69369840   5688  68288    0    0  6864     0 25542 26036  1  0 97  2  0	
 1  0      0 69369840   5688  68288    0    0  6896     0 25651 26150  0  0 98  2  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 69369808   5696  68300    0    0  6720    20 26478 26970  1  0 97  2  0	
 0  1      0 69369808   5696  68300    0    0  7680     0 24890 25425  1  0 97  2  0	
 1  0      0 69369808   5696  68300    0    0  6864     0 25596 26101  0  0 97  2  0	
 1  0      0 69369808   5696  68300    0    0  7264     0 25441 25973  0  0 97  2  0	
 0  1      0 69369808   5696  68300    0    0  6288     0 26893 27355  0  0 98  2  0	
 0  1      0 69369808   5696  68300    0    0  7024     0 26082 26588  1  0 97  2  0	
 0  1      0 69369808   5704  68292    0    0  6624    20 26163 26638  1  0 97  2  0	
 1  0      0 69369808   5704  68292    0    0  6944     0 26292 26789  1  0 98  2  0	
 1  0      0 69369808   5704  68300    0    0  7056     0 25608 26124  0  0 97  2  0	
 2  0      0 69369808   5704  68300    0    0  7296     0 25664 26198  0  0 98  2  0	
 1  0      0 69369808   5704  68300    0    0  7072     0 26122 26624  0  0 97  2  0	
 0  1      0 69369808   5712  68292    0    0  7216    36 25680 26198  0  0 97  2  0	
